block,panel_order,title,month,estimate,lower,upper,ymin,ymax,step
1,3,Log Unit Value,-4,0.1,-0.29,0.46,-1.12,1.18,0.5
1,3,Log Unit Value,-3,0.13,-0.27,0.58,-1.12,1.18,0.5
1,3,Log Unit Value,-2,0.18,-0.28,0.64,-1.12,1.18,0.5
1,3,Log Unit Value,-1,0.17,-0.28,0.57,-1.12,1.18,0.5
1,3,Log Unit Value,0,0.15,-0.47,0.68,-1.12,1.18,0.5
1,3,Log Unit Value,1,0.02,-0.59,0.54,-1.12,1.18,0.5
1,3,Log Unit Value,2,-0.12,-0.85,0.52,-1.12,1.18,0.5
1,3,Log Unit Value,3,0.14,-0.49,0.78,-1.12,1.18,0.5
1,3,Log Unit Value,4,-0.24,-0.85,0.38,-1.12,1.18,0.5
1,3,Log Unit Value,5,0.35,-0.33,1.04,-1.12,1.18,0.5
1,3,Log Unit Value,6,0.22,-0.53,0.95,-1.12,1.18,0.5
1,4,Log Duty-Inclusive Unit Value,-6,0.01,-0.32,0.31,-0.65,2.22,0.5
1,4,Log Duty-Inclusive Unit Value,-5,0.08,-0.31,0.48,-0.65,2.22,0.5
1,4,Log Duty-Inclusive Unit Value,-4,0.1,-0.29,0.52,-0.65,2.22,0.5
1,4,Log Duty-Inclusive Unit Value,-3,0.15,-0.29,0.63,-0.65,2.22,0.5
1,4,Log Duty-Inclusive Unit Value,-2,0.17,-0.29,0.61,-0.65,2.22,0.5
1,4,Log Duty-Inclusive Unit Value,-1,0.14,-0.31,0.5,-0.65,2.22,0.5
1,4,Log Duty-Inclusive Unit Value,0,1.13,0.53,1.72,-0.65,2.22,0.5
1,4,Log Duty-Inclusive Unit Value,1,1.01,0.49,1.61,-0.65,2.22,0.5
1,4,Log Duty-Inclusive Unit Value,2,0.89,0.19,1.52,-0.65,2.22,0.5
1,4,Log Duty-Inclusive Unit Value,3,1.12,0.53,1.78,-0.65,2.22,0.5
1,4,Log Duty-Inclusive Unit Value,4,0.76,0.24,1.37,-0.65,2.22,0.5
1,4,Log Duty-Inclusive Unit Value,5,1.35,0.69,2.1,-0.65,2.22,0.5
1,4,Log Duty-Inclusive Unit Value,6,1.21,0.48,2.0,-0.65,2.22,0.5
