panel,year,series,series_order,axis,value
march,1985,College/HS Gap,2,right,0.520000
march,1986,College/HS Gap,2,right,0.527500
march,1987,College/HS Gap,2,right,0.535000
march,1988,College/HS Gap,2,right,0.542500
march,1989,College/HS Gap,2,right,0.550000
march,1990,College/HS Gap,2,right,0.553333
march,1991,College/HS Gap,2,right,0.556667
march,1992,College/HS Gap,2,right,0.560000
march,1993,College/HS Gap,2,right,0.570000
march,1994,College/HS Gap,2,right,0.580000
march,1995,College/HS Gap,2,right,0.590000
march,1996,College/HS Gap,2,right,0.595000
march,1997,College/HS Gap,2,right,0.600000
march,1998,College/HS Gap,2,right,0.605000
march,1999,College/HS Gap,2,right,0.610000
march,2000,College/HS Gap,2,right,0.620000
march,2001,College/HS Gap,2,right,0.630000
march,2002,College/HS Gap,2,right,0.640000
march,2003,College/HS Gap,2,right,0.646667
march,2004,College/HS Gap,2,right,0.653333
march,2005,College/HS Gap,2,right,0.660000
march,1963,Residual 90/10,3,left,0.920000
march,1964,Residual 90/10,3,left,0.930000
march,1965,Residual 90/10,3,left,0.940000
march,1966,Residual 90/10,3,left,0.950000
march,1967,Residual 90/10,3,left,0.960000
march,1968,Residual 90/10,3,left,0.955000
march,1969,Residual 90/10,3,left,0.950000
march,1970,Residual 90/10,3,left,0.945000
march,1971,Residual 90/10,3,left,0.940000
march,1972,Residual 90/10,3,left,0.960000
march,1973,Residual 90/10,3,left,0.980000
march,1974,Residual 90/10,3,left,1.000000
march,1975,Residual 90/10,3,left,1.020000
march,1976,Residual 90/10,3,left,1.025000
march,1977,Residual 90/10,3,left,1.030000
march,1978,Residual 90/10,3,left,1.035000
march,1979,Residual 90/10,3,left,1.040000
march,1980,Residual 90/10,3,left,1.047500
march,1981,Residual 90/10,3,left,1.055000
march,1982,Residual 90/10,3,left,1.062500
march,1983,Residual 90/10,3,left,1.070000
march,1984,Residual 90/10,3,left,1.087500
march,1985,Residual 90/10,3,left,1.105000
march,1986,Residual 90/10,3,left,1.122500
march,1987,Residual 90/10,3,left,1.140000
march,1988,Residual 90/10,3,left,1.147500
march,1989,Residual 90/10,3,left,1.155000
march,1990,Residual 90/10,3,left,1.162500
march,1991,Residual 90/10,3,left,1.170000
march,1992,Residual 90/10,3,left,1.173333
march,1993,Residual 90/10,3,left,1.176667
march,1994,Residual 90/10,3,left,1.180000
march,1995,Residual 90/10,3,left,1.190000
march,1996,Residual 90/10,3,left,1.200000
march,1997,Residual 90/10,3,left,1.210000
march,1998,Residual 90/10,3,left,1.220000
march,1999,Residual 90/10,3,left,1.226667
march,2000,Residual 90/10,3,left,1.233333
march,2001,Residual 90/10,3,left,1.240000
march,2002,Residual 90/10,3,left,1.247500
march,2003,Residual 90/10,3,left,1.255000
march,2004,Residual 90/10,3,left,1.262500
march,2005,Residual 90/10,3,left,1.270000
morg,1973,Overall 90/10,1,left,1.190000
morg,1974,Overall 90/10,1,left,1.210000
morg,1975,Overall 90/10,1,left,1.230000
morg,1976,Overall 90/10,1,left,1.250000
morg,1977,Overall 90/10,1,left,1.246667
morg,1978,Overall 90/10,1,left,1.243333
morg,1979,Overall 90/10,1,left,1.240000
morg,1980,Overall 90/10,1,left,1.260000
morg,1981,Overall 90/10,1,left,1.280000
morg,1982,Overall 90/10,1,left,1.300000
morg,1983,Overall 90/10,1,left,1.343333
morg,1984,Overall 90/10,1,left,1.386667
morg,1985,Overall 90/10,1,left,1.430000
morg,1986,Overall 90/10,1,left,1.413333
morg,1987,Overall 90/10,1,left,1.396667
morg,1988,Overall 90/10,1,left,1.380000
morg,1989,Overall 90/10,1,left,1.407500
morg,1990,Overall 90/10,1,left,1.435000
morg,1991,Overall 90/10,1,left,1.462500
morg,1992,Overall 90/10,1,left,1.490000
morg,1993,Overall 90/10,1,left,1.470000
morg,1994,Overall 90/10,1,left,1.450000
morg,1995,Overall 90/10,1,left,1.430000
morg,1996,Overall 90/10,1,left,1.443333
morg,1997,Overall 90/10,1,left,1.456667
morg,1998,Overall 90/10,1,left,1.470000
morg,1999,Overall 90/10,1,left,1.480000
morg,2000,Overall 90/10,1,left,1.490000
morg,2001,Overall 90/10,1,left,1.500000
morg,2002,Overall 90/10,1,left,1.512500
morg,2003,Overall 90/10,1,left,1.525000
morg,2004,Overall 90/10,1,left,1.537500
morg,2005,Overall 90/10,1,left,1.550000
morg,1973,College/HS Gap,2,right,0.430000
morg,1974,College/HS Gap,2,right,0.426667
morg,1975,College/HS Gap,2,right,0.423333
morg,1976,College/HS Gap,2,right,0.420000
morg,1977,College/HS Gap,2,right,0.416667
morg,1978,College/HS Gap,2,right,0.413333
morg,1979,College/HS Gap,2,right,0.410000
morg,1980,College/HS Gap,2,right,0.423333
morg,1981,College/HS Gap,2,right,0.436667
morg,1982,College/HS Gap,2,right,0.450000
morg,1983,College/HS Gap,2,right,0.463333
morg,1984,College/HS Gap,2,right,0.476667
morg,1985,College/HS Gap,2,right,0.490000
morg,1986,College/HS Gap,2,right,0.506667
morg,1987,College/HS Gap,2,right,0.523333
morg,1988,College/HS Gap,2,right,0.540000
morg,1989,College/HS Gap,2,right,0.550000
morg,1990,College/HS Gap,2,right,0.560000
morg,1991,College/HS Gap,2,right,0.570000
morg,1992,College/HS Gap,2,right,0.580000
morg,1993,College/HS Gap,2,right,0.583333
morg,1994,College/HS Gap,2,right,0.586667
morg,1995,College/HS Gap,2,right,0.590000
morg,1996,College/HS Gap,2,right,0.596667
morg,1997,College/HS Gap,2,right,0.603333
morg,1998,College/HS Gap,2,right,0.610000
morg,1999,College/HS Gap,2,right,0.613333
morg,2000,College/HS Gap,2,right,0.616667
morg,2001,College/HS Gap,2,right,0.620000
morg,2002,College/HS Gap,2,right,0.625000
morg,2003,College/HS Gap,2,right,0.630000
morg,2004,College/HS Gap,2,right,0.635000
morg,2005,College/HS Gap,2,right,0.640000
morg,1973,Residual 90/10,3,left,1.050000
morg,1974,Residual 90/10,3,left,1.030000
morg,1975,Residual 90/10,3,left,1.010000
morg,1976,Residual 90/10,3,left,0.990000
morg,1977,Residual 90/10,3,left,0.980000
morg,1978,Residual 90/10,3,left,0.970000
morg,1979,Residual 90/10,3,left,0.960000
morg,1980,Residual 90/10,3,left,0.980000
morg,1981,Residual 90/10,3,left,1.000000
morg,1982,Residual 90/10,3,left,1.020000
morg,1983,Residual 90/10,3,left,1.046667
morg,1984,Residual 90/10,3,left,1.073333
morg,1985,Residual 90/10,3,left,1.100000
morg,1986,Residual 90/10,3,left,1.100000
morg,1987,Residual 90/10,3,left,1.100000
morg,1988,Residual 90/10,3,left,1.100000
morg,1989,Residual 90/10,3,left,1.102500
morg,1990,Residual 90/10,3,left,1.105000
morg,1991,Residual 90/10,3,left,1.107500
morg,1992,Residual 90/10,3,left,1.110000
morg,1993,Residual 90/10,3,left,1.120000
morg,1994,Residual 90/10,3,left,1.130000
morg,1995,Residual 90/10,3,left,1.140000
morg,1996,Residual 90/10,3,left,1.123333
morg,1997,Residual 90/10,3,left,1.106667
morg,1998,Residual 90/10,3,left,1.090000
morg,1999,Residual 90/10,3,left,1.103333
morg,2000,Residual 90/10,3,left,1.116667
morg,2001,Residual 90/10,3,left,1.130000
morg,2002,Residual 90/10,3,left,1.127500
morg,2003,Residual 90/10,3,left,1.125000
morg,2004,Residual 90/10,3,left,1.122500
morg,2005,Residual 90/10,3,left,1.120000
