panel,kind,x,y
"Low exposure, selling",point,33.0,29.0
"Low exposure, selling",point,21.0,32.0
"Low exposure, selling",point,26.0,26.0
"Low exposure, selling",point,11.0,4.0
"Low exposure, selling",point,14.0,9.0
"Low exposure, selling",point,30.0,31.0
"Low exposure, selling",point,7.0,15.0
"Low exposure, selling",point,34.0,28.0
"Low exposure, selling",point,25.0,25.0
"Low exposure, selling",point,23.0,15.0
"Low exposure, selling",point,27.0,11.0
"Low exposure, selling",point,7.0,10.0
"Low exposure, selling",point,27.0,32.0
"Low exposure, selling",point,13.0,16.0
"Low exposure, selling",point,24.0,32.0
"Low exposure, selling",point,13.0,17.0
"Low exposure, selling",point,19.0,11.0
"Low exposure, selling",point,5.0,9.0
"Low exposure, selling",point,22.0,33.0
"Low exposure, selling",point,36.0,32.0
"Low exposure, selling",point,33.0,41.0
"Low exposure, selling",point,30.0,14.0
"Low exposure, selling",point,5.0,17.0
"Low exposure, selling",point,5.0,25.0
"Low exposure, selling",point,5.0,27.0
"Low exposure, selling",point,25.0,36.0
"Low exposure, selling",point,35.0,22.0
"Low exposure, selling",point,8.0,22.0
"Low exposure, selling",point,24.0,31.0
"Low exposure, selling",point,12.0,30.0
"Low exposure, selling",point,7.0,24.0
"Low exposure, selling",point,27.0,27.0
"Low exposure, selling",point,15.0,24.0
"Low exposure, selling",point,31.0,23.0
"Low exposure, selling",point,23.0,24.0
"Low exposure, selling",point,27.0,37.0
"Low exposure, selling",point,37.0,20.0
"Low exposure, selling",point,33.0,15.0
"Low exposure, selling",point,6.0,28.0
"Low exposure, selling",point,14.0,16.0
"Low exposure, selling",point,17.0,36.0
"Low exposure, selling",point,14.0,16.0
"Low exposure, selling",point,12.0,16.0
"Low exposure, selling",point,24.0,22.0
"Low exposure, selling",point,16.0,34.0
"Low exposure, selling",point,15.0,34.0
"Low exposure, selling",point,14.0,8.0
"Low exposure, selling",point,28.0,34.0
"Low exposure, selling",point,29.0,18.0
"Low exposure, selling",point,11.0,15.0
"Low exposure, selling",point,6.0,13.0
"Low exposure, selling",point,8.0,32.0
"Low exposure, selling",point,15.0,25.0
"Low exposure, selling",point,5.0,31.0
"Low exposure, selling",point,15.0,24.0
"Low exposure, selling",point,15.0,32.0
"Low exposure, selling",point,34.0,27.0
"Low exposure, selling",point,7.0,19.0
"Low exposure, selling",point,15.0,25.0
"Low exposure, selling",point,21.0,24.0
"Low exposure, selling",point,36.0,28.0
"Low exposure, selling",point,18.0,23.0
"Low exposure, selling",point,23.0,20.0
"Low exposure, selling",point,30.0,19.0
"Low exposure, selling",point,24.0,5.0
"Low exposure, selling",point,18.0,33.0
"Low exposure, selling",point,15.0,38.0
"Low exposure, selling",point,21.0,17.0
"Low exposure, selling",point,40.0,26.0
"Low exposure, selling",point,28.0,17.0
"Low exposure, selling",point,5.0,23.0
"Low exposure, selling",point,39.0,26.0
"Low exposure, selling",point,7.0,24.0
"Low exposure, selling",point,18.0,24.0
"Low exposure, selling",point,28.0,29.0
"Low exposure, selling",point,33.0,6.0
"Low exposure, selling",point,15.0,40.0
"Low exposure, selling",point,25.0,36.0
"Low exposure, selling",point,13.0,31.0
"Low exposure, selling",point,13.0,10.0
"Low exposure, selling",point,14.0,17.0
"Low exposure, selling",point,20.0,33.0
"Low exposure, selling",point,17.0,8.0
"Low exposure, selling",point,37.0,32.0
"Low exposure, selling",point,14.0,35.0
"Low exposure, selling",point,27.0,19.0
"Low exposure, selling",point,5.0,9.0
"Low exposure, selling",point,9.0,3.0
"Low exposure, selling",point,24.0,30.0
"Low exposure, selling",point,8.0,22.0
"Low exposure, selling",point,14.0,20.0
"Low exposure, selling",point,43.0,37.0
"Low exposure, selling",point,37.0,19.0
"Low exposure, selling",point,16.0,30.0
"Low exposure, selling",point,5.0,18.0
"Low exposure, selling",point,32.0,22.0
"Low exposure, selling",point,14.0,25.0
"Low exposure, selling",point,7.0,25.0
"Low exposure, selling",point,21.0,18.0
"Low exposure, selling",point,21.0,31.0
"Low exposure, selling",point,38.0,28.0
"Low exposure, selling",point,29.0,27.0
"Low exposure, selling",point,12.0,13.0
"Low exposure, selling",point,14.0,25.0
"Low exposure, selling",point,15.0,24.0
"Low exposure, selling",point,20.0,34.0
"Low exposure, selling",point,6.0,17.0
"Low exposure, selling",point,15.0,26.0
"Low exposure, selling",point,6.0,3.0
"Low exposure, selling",point,8.0,19.0
"Low exposure, selling",point,33.0,26.0
"Low exposure, selling",point,16.0,24.0
"Low exposure, selling",point,19.0,24.0
"Low exposure, selling",point,16.0,28.0
"Low exposure, selling",point,13.0,24.0
"Low exposure, selling",point,22.0,8.0
"Low exposure, selling",point,16.0,32.0
"Low exposure, selling",point,5.0,36.0
"Low exposure, selling",point,44.0,25.0
"Low exposure, selling",point,15.0,23.0
"Low exposure, selling",point,9.0,26.0
"Low exposure, selling",point,5.0,4.0
"Low exposure, selling",point,7.0,26.0
"Low exposure, selling",point,21.0,20.0
"Low exposure, selling",point,17.0,29.0
"Low exposure, selling",point,5.0,10.0
"Low exposure, selling",point,5.0,27.0
"Low exposure, selling",point,17.0,25.0
"Low exposure, selling",point,11.0,11.0
"Low exposure, selling",point,18.0,10.0
"Low exposure, selling",point,34.0,27.0
"Low exposure, selling",point,21.0,31.0
"Low exposure, selling",point,9.0,21.0
"Low exposure, selling",point,26.0,29.0
"Low exposure, selling",point,22.0,30.0
"Low exposure, selling",point,8.0,11.0
"Low exposure, selling",point,5.0,14.0
"Low exposure, selling",point,17.0,28.0
"Low exposure, selling",point,7.0,28.0
"Low exposure, selling",point,51.0,26.0
"Low exposure, selling",point,35.0,12.0
"Low exposure, selling",point,47.0,36.0
"Low exposure, selling",point,30.0,37.0
"Low exposure, selling",point,13.0,22.0
"Low exposure, selling",point,35.0,39.0
"Low exposure, selling",point,31.0,16.0
"Low exposure, selling",point,33.0,39.0
"Low exposure, selling",point,5.0,10.0
"Low exposure, selling",point,28.0,29.0
"Low exposure, selling",point,19.0,20.0
"Low exposure, selling",point,23.0,30.0
"Low exposure, selling",point,29.0,22.0
"Low exposure, selling",point,23.0,26.0
"Low exposure, selling",point,13.0,15.0
"Low exposure, selling",point,5.0,20.0
"Low exposure, selling",point,7.0,34.0
"Low exposure, selling",point,22.0,27.0
"Low exposure, selling",point,24.0,23.0
"Low exposure, selling",point,11.0,26.0
"Low exposure, selling",point,11.0,31.0
"Low exposure, selling",point,5.0,7.0
"Low exposure, selling",point,43.0,36.0
"Low exposure, selling",point,24.0,37.0
"Low exposure, selling",point,27.0,37.0
"Low exposure, selling",point,24.0,32.0
"Low exposure, selling",point,12.0,26.0
"Low exposure, selling",point,19.0,22.0
"Low exposure, selling",point,32.0,37.0
"Low exposure, selling",point,36.0,23.0
"Low exposure, selling",point,5.0,23.0
"Low exposure, selling",point,5.0,20.0
"Low exposure, selling",point,5.0,3.0
"Low exposure, selling",point,10.0,19.0
"Low exposure, selling",point,18.0,16.0
"Low exposure, selling",point,5.0,21.0
"Low exposure, selling",point,19.0,9.0
"Low exposure, selling",point,26.0,31.0
"Low exposure, selling",point,11.0,23.0
"Low exposure, selling",point,14.0,33.0
"Low exposure, selling",point,41.0,39.0
"Low exposure, selling",point,13.0,17.0
"Low exposure, selling",point,20.0,13.0
"Low exposure, selling",point,15.0,39.0
"Low exposure, selling",point,35.0,29.0
"Low exposure, selling",point,41.0,33.0
"Low exposure, selling",point,23.0,30.0
"Low exposure, selling",point,32.0,24.0
"Low exposure, selling",point,5.0,19.0
"Low exposure, selling",point,24.0,28.0
"Low exposure, selling",point,45.0,32.0
"Low exposure, selling",point,18.0,14.0
"Low exposure, selling",point,11.0,30.0
"Low exposure, selling",point,16.0,38.0
"Low exposure, selling",point,5.0,10.0
"Low exposure, selling",point,5.0,8.0
"Low exposure, selling",point,34.0,15.0
"Low exposure, selling",point,14.0,23.0
"Low exposure, selling",point,25.0,23.0
"Low exposure, selling",point,27.0,14.0
"Low exposure, selling",point,25.0,17.0
"Low exposure, selling",point,22.0,17.0
"Low exposure, selling",point,11.0,18.0
"Low exposure, selling",point,28.0,28.0
"Low exposure, selling",point,24.0,37.0
"Low exposure, selling",point,40.0,38.0
"Low exposure, selling",point,9.0,22.0
"Low exposure, selling",point,24.0,17.0
"Low exposure, selling",point,11.0,13.0
"Low exposure, selling",point,18.0,28.0
"Low exposure, selling",point,6.0,23.0
"Low exposure, selling",identity,0.0,0.0
"Low exposure, selling",identity,75.0,75.0
"Low exposure, buying",point,8.0,72.0
"Low exposure, buying",point,34.0,26.0
"Low exposure, buying",point,38.0,19.0
"Low exposure, buying",point,46.0,23.0
"Low exposure, buying",point,31.0,20.0
"Low exposure, buying",point,44.0,15.0
"Low exposure, buying",point,42.0,9.0
"Low exposure, buying",point,35.0,26.0
"Low exposure, buying",point,20.0,18.0
"Low exposure, buying",point,33.0,22.0
"Low exposure, buying",point,39.0,25.0
"Low exposure, buying",point,31.0,27.0
"Low exposure, buying",point,22.0,11.0
"Low exposure, buying",point,43.0,28.0
"Low exposure, buying",point,21.0,9.0
"Low exposure, buying",point,49.0,33.0
"Low exposure, buying",point,19.0,6.0
"Low exposure, buying",point,29.0,20.0
"Low exposure, buying",point,20.0,7.0
"Low exposure, buying",point,47.0,30.0
"Low exposure, buying",point,52.0,35.0
"Low exposure, buying",point,51.0,32.0
"Low exposure, buying",point,36.0,24.0
"Low exposure, buying",point,46.0,23.0
"Low exposure, buying",point,52.0,31.0
"Low exposure, buying",point,42.0,32.0
"Low exposure, buying",point,45.0,23.0
"Low exposure, buying",point,52.0,39.0
"Low exposure, buying",point,34.0,27.0
"Low exposure, buying",point,44.0,18.0
"Low exposure, buying",point,37.0,18.0
"Low exposure, buying",point,42.0,20.0
"Low exposure, buying",point,39.0,26.0
"Low exposure, buying",point,29.0,18.0
"Low exposure, buying",point,43.0,19.0
"Low exposure, buying",point,37.0,22.0
"Low exposure, buying",point,42.0,29.0
"Low exposure, buying",point,29.0,24.0
"Low exposure, buying",point,47.0,27.0
"Low exposure, buying",point,36.0,44.0
"Low exposure, buying",point,23.0,20.0
"Low exposure, buying",point,46.0,33.0
"Low exposure, buying",point,34.0,27.0
"Low exposure, buying",point,47.0,21.0
"Low exposure, buying",point,43.0,20.0
"Low exposure, buying",point,19.0,26.0
"Low exposure, buying",point,38.0,20.0
"Low exposure, buying",point,34.0,5.0
"Low exposure, buying",point,39.0,26.0
"Low exposure, buying",point,34.0,21.0
"Low exposure, buying",point,28.0,29.0
"Low exposure, buying",point,33.0,15.0
"Low exposure, buying",point,25.0,18.0
"Low exposure, buying",point,52.0,27.0
"Low exposure, buying",point,28.0,14.0
"Low exposure, buying",point,52.0,28.0
"Low exposure, buying",point,51.0,33.0
"Low exposure, buying",point,33.0,22.0
"Low exposure, buying",point,35.0,21.0
"Low exposure, buying",point,32.0,30.0
"Low exposure, buying",point,38.0,20.0
"Low exposure, buying",point,38.0,13.0
"Low exposure, buying",point,29.0,13.0
"Low exposure, buying",point,49.0,27.0
"Low exposure, buying",point,29.0,9.0
"Low exposure, buying",point,19.0,5.0
"Low exposure, buying",point,31.0,19.0
"Low exposure, buying",point,52.0,38.0
"Low exposure, buying",point,52.0,35.0
"Low exposure, buying",point,19.0,14.0
"Low exposure, buying",point,32.0,23.0
"Low exposure, buying",point,31.0,11.0
"Low exposure, buying",point,45.0,13.0
"Low exposure, buying",point,41.0,27.0
"Low exposure, buying",point,40.0,31.0
"Low exposure, buying",point,46.0,26.0
"Low exposure, buying",point,45.0,23.0
"Low exposure, buying",point,48.0,25.0
"Low exposure, buying",point,35.0,24.0
"Low exposure, buying",point,47.0,16.0
"Low exposure, buying",point,20.0,13.0
"Low exposure, buying",point,39.0,24.0
"Low exposure, buying",point,40.0,30.0
"Low exposure, buying",point,39.0,23.0
"Low exposure, buying",point,44.0,30.0
"Low exposure, buying",point,39.0,15.0
"Low exposure, buying",point,37.0,22.0
"Low exposure, buying",point,34.0,23.0
"Low exposure, buying",point,43.0,12.0
"Low exposure, buying",point,46.0,21.0
"Low exposure, buying",point,34.0,16.0
"Low exposure, buying",point,8.0,18.0
"Low exposure, buying",point,50.0,15.0
"Low exposure, buying",point,31.0,22.0
"Low exposure, buying",point,29.0,21.0
"Low exposure, buying",point,52.0,33.0
"Low exposure, buying",point,49.0,26.0
"Low exposure, buying",point,52.0,26.0
"Low exposure, buying",point,29.0,20.0
"Low exposure, buying",point,49.0,25.0
"Low exposure, buying",point,37.0,28.0
"Low exposure, buying",point,22.0,15.0
"Low exposure, buying",point,27.0,9.0
"Low exposure, buying",point,30.0,16.0
"Low exposure, buying",point,37.0,25.0
"Low exposure, buying",point,38.0,29.0
"Low exposure, buying",point,30.0,25.0
"Low exposure, buying",point,25.0,13.0
"Low exposure, buying",point,45.0,25.0
"Low exposure, buying",point,49.0,19.0
"Low exposure, buying",point,30.0,12.0
"Low exposure, buying",point,36.0,26.0
"Low exposure, buying",point,27.0,21.0
"Low exposure, buying",point,52.0,35.0
"Low exposure, buying",point,29.0,16.0
"Low exposure, buying",point,26.0,18.0
"Low exposure, buying",point,42.0,26.0
"Low exposure, buying",point,42.0,27.0
"Low exposure, buying",point,19.0,17.0
"Low exposure, buying",point,48.0,31.0
"Low exposure, buying",point,44.0,28.0
"Low exposure, buying",point,29.0,15.0
"Low exposure, buying",point,35.0,18.0
"Low exposure, buying",point,33.0,24.0
"Low exposure, buying",point,52.0,26.0
"Low exposure, buying",point,21.0,19.0
"Low exposure, buying",point,46.0,32.0
"Low exposure, buying",point,37.0,32.0
"Low exposure, buying",point,29.0,22.0
"Low exposure, buying",point,44.0,23.0
"Low exposure, buying",point,23.0,18.0
"Low exposure, buying",point,38.0,25.0
"Low exposure, buying",point,17.0,3.0
"Low exposure, buying",point,35.0,20.0
"Low exposure, buying",point,37.0,30.0
"Low exposure, buying",point,24.0,26.0
"Low exposure, buying",point,52.0,32.0
"Low exposure, buying",point,13.0,15.0
"Low exposure, buying",point,14.0,4.0
"Low exposure, buying",point,35.0,12.0
"Low exposure, buying",point,13.0,13.0
"Low exposure, buying",point,50.0,19.0
"Low exposure, buying",point,52.0,32.0
"Low exposure, buying",point,39.0,26.0
"Low exposure, buying",point,36.0,23.0
"Low exposure, buying",point,41.0,28.0
"Low exposure, buying",point,52.0,26.0
"Low exposure, buying",point,51.0,32.0
"Low exposure, buying",point,43.0,19.0
"Low exposure, buying",point,41.0,12.0
"Low exposure, buying",point,40.0,16.0
"Low exposure, buying",point,52.0,39.0
"Low exposure, buying",point,38.0,3.0
"Low exposure, buying",point,32.0,17.0
"Low exposure, buying",point,43.0,24.0
"Low exposure, buying",point,36.0,21.0
"Low exposure, buying",point,18.0,6.0
"Low exposure, buying",point,52.0,32.0
"Low exposure, buying",point,32.0,10.0
"Low exposure, buying",point,43.0,20.0
"Low exposure, buying",point,13.0,10.0
"Low exposure, buying",point,41.0,20.0
"Low exposure, buying",point,28.0,23.0
"Low exposure, buying",point,22.0,3.0
"Low exposure, buying",point,17.0,10.0
"Low exposure, buying",point,23.0,9.0
"Low exposure, buying",point,44.0,23.0
"Low exposure, buying",point,52.0,29.0
"Low exposure, buying",point,33.0,19.0
"Low exposure, buying",point,52.0,28.0
"Low exposure, buying",point,24.0,9.0
"Low exposure, buying",point,52.0,33.0
"Low exposure, buying",point,43.0,20.0
"Low exposure, buying",point,40.0,29.0
"Low exposure, buying",point,37.0,26.0
"Low exposure, buying",point,39.0,17.0
"Low exposure, buying",point,45.0,23.0
"Low exposure, buying",point,32.0,24.0
"Low exposure, buying",point,30.0,19.0
"Low exposure, buying",point,35.0,19.0
"Low exposure, buying",point,8.0,3.0
"Low exposure, buying",point,46.0,36.0
"Low exposure, buying",point,36.0,22.0
"Low exposure, buying",point,26.0,10.0
"Low exposure, buying",point,36.0,25.0
"Low exposure, buying",point,25.0,16.0
"Low exposure, buying",point,31.0,19.0
"Low exposure, buying",point,28.0,20.0
"Low exposure, buying",point,32.0,15.0
"Low exposure, buying",point,25.0,12.0
"Low exposure, buying",point,28.0,17.0
"Low exposure, buying",point,37.0,19.0
"Low exposure, buying",point,47.0,23.0
"Low exposure, buying",point,50.0,30.0
"Low exposure, buying",point,27.0,11.0
"Low exposure, buying",point,51.0,38.0
"Low exposure, buying",point,29.0,14.0
"Low exposure, buying",point,37.0,22.0
"Low exposure, buying",point,42.0,22.0
"Low exposure, buying",point,37.0,36.0
"Low exposure, buying",point,52.0,29.0
"Low exposure, buying",point,48.0,32.0
"Low exposure, buying",point,33.0,23.0
"Low exposure, buying",point,20.0,9.0
"Low exposure, buying",point,32.0,19.0
"Low exposure, buying",point,38.0,21.0
"Low exposure, buying",point,33.0,22.0
"Low exposure, buying",point,45.0,25.0
"Low exposure, buying",point,46.0,32.0
"Low exposure, buying",point,16.0,4.0
"Low exposure, buying",point,52.0,30.0
"Low exposure, buying",point,39.0,13.0
"Low exposure, buying",point,46.0,19.0
"Low exposure, buying",point,37.0,28.0
"Low exposure, buying",point,35.0,10.0
"Low exposure, buying",point,30.0,15.0
"Low exposure, buying",point,29.0,20.0
"Low exposure, buying",point,27.0,22.0
"Low exposure, buying",point,47.0,30.0
"Low exposure, buying",point,32.0,16.0
"Low exposure, buying",point,16.0,10.0
"Low exposure, buying",point,41.0,29.0
"Low exposure, buying",point,30.0,25.0
"Low exposure, buying",point,52.0,33.0
"Low exposure, buying",point,39.0,20.0
"Low exposure, buying",point,48.0,30.0
"Low exposure, buying",point,22.0,7.0
"Low exposure, buying",point,20.0,18.0
"Low exposure, buying",point,27.0,12.0
"Low exposure, buying",point,14.0,3.0
"Low exposure, buying",point,24.0,16.0
"Low exposure, buying",point,39.0,27.0
"Low exposure, buying",point,44.0,29.0
"Low exposure, buying",point,24.0,14.0
"Low exposure, buying",point,43.0,17.0
"Low exposure, buying",point,38.0,20.0
"Low exposure, buying",point,33.0,14.0
"Low exposure, buying",point,24.0,19.0
"Low exposure, buying",point,22.0,12.0
"Low exposure, buying",point,47.0,26.0
"Low exposure, buying",point,29.0,26.0
"Low exposure, buying",point,26.0,13.0
"Low exposure, buying",point,18.0,17.0
"Low exposure, buying",point,52.0,27.0
"Low exposure, buying",point,31.0,20.0
"Low exposure, buying",point,46.0,30.0
"Low exposure, buying",point,42.0,27.0
"Low exposure, buying",point,37.0,14.0
"Low exposure, buying",point,28.0,21.0
"Low exposure, buying",point,47.0,22.0
"Low exposure, buying",point,27.0,13.0
"Low exposure, buying",point,34.0,20.0
"Low exposure, buying",point,37.0,20.0
"Low exposure, buying",point,31.0,25.0
"Low exposure, buying",point,29.0,11.0
"Low exposure, buying",point,33.0,17.0
"Low exposure, buying",point,52.0,36.0
"Low exposure, buying",point,38.0,21.0
"Low exposure, buying",point,23.0,17.0
"Low exposure, buying",point,33.0,19.0
"Low exposure, buying",point,21.0,7.0
"Low exposure, buying",point,30.0,13.0
"Low exposure, buying",point,28.0,17.0
"Low exposure, buying",point,39.0,30.0
"Low exposure, buying",point,42.0,31.0
"Low exposure, buying",point,17.0,12.0
"Low exposure, buying",point,19.0,16.0
"Low exposure, buying",point,22.0,26.0
"Low exposure, buying",point,34.0,29.0
"Low exposure, buying",point,32.0,9.0
"Low exposure, buying",identity,0.0,0.0
"Low exposure, buying",identity,75.0,75.0
"High exposure, selling",point,24.0,44.0
"High exposure, selling",point,33.0,41.0
"High exposure, selling",point,35.0,42.0
"High exposure, selling",point,44.0,29.0
"High exposure, selling",point,41.0,51.0
"High exposure, selling",point,25.0,30.0
"High exposure, selling",point,32.0,33.0
"High exposure, selling",point,27.0,37.0
"High exposure, selling",point,59.0,65.0
"High exposure, selling",point,35.0,40.0
"High exposure, selling",point,38.0,36.0
"High exposure, selling",point,58.0,47.0
"High exposure, selling",point,44.0,41.0
"High exposure, selling",point,45.0,38.0
"High exposure, selling",point,40.0,16.0
"High exposure, selling",point,44.0,43.0
"High exposure, selling",point,36.0,44.0
"High exposure, selling",point,44.0,49.0
"High exposure, selling",point,51.0,39.0
"High exposure, selling",point,56.0,33.0
"High exposure, selling",point,48.0,47.0
"High exposure, selling",point,48.0,41.0
"High exposure, selling",point,38.0,58.0
"High exposure, selling",point,45.0,37.0
"High exposure, selling",point,36.0,57.0
"High exposure, selling",point,24.0,25.0
"High exposure, selling",point,44.0,42.0
"High exposure, selling",point,59.0,58.0
"High exposure, selling",point,52.0,41.0
"High exposure, selling",point,29.0,39.0
"High exposure, selling",point,41.0,36.0
"High exposure, selling",point,29.0,58.0
"High exposure, selling",point,40.0,25.0
"High exposure, selling",point,40.0,42.0
"High exposure, selling",point,35.0,32.0
"High exposure, selling",point,30.0,27.0
"High exposure, selling",point,27.0,37.0
"High exposure, selling",point,32.0,38.0
"High exposure, selling",point,44.0,51.0
"High exposure, selling",point,51.0,41.0
"High exposure, selling",point,46.0,52.0
"High exposure, selling",point,56.0,62.0
"High exposure, selling",point,24.0,52.0
"High exposure, selling",point,55.0,37.0
"High exposure, selling",point,53.0,44.0
"High exposure, selling",point,58.0,48.0
"High exposure, selling",point,39.0,36.0
"High exposure, selling",point,60.0,31.0
"High exposure, selling",point,27.0,24.0
"High exposure, selling",point,53.0,41.0
"High exposure, selling",point,37.0,41.0
"High exposure, selling",point,28.0,28.0
"High exposure, selling",point,63.0,33.0
"High exposure, selling",point,55.0,43.0
"High exposure, selling",point,41.0,25.0
"High exposure, selling",point,49.0,74.0
"High exposure, selling",point,52.0,55.0
"High exposure, selling",point,52.0,44.0
"High exposure, selling",point,40.0,37.0
"High exposure, selling",point,24.0,41.0
"High exposure, selling",point,33.0,41.0
"High exposure, selling",point,34.0,38.0
"High exposure, selling",point,41.0,25.0
"High exposure, selling",point,54.0,41.0
"High exposure, selling",point,50.0,52.0
"High exposure, selling",point,30.0,18.0
"High exposure, selling",point,35.0,34.0
"High exposure, selling",point,25.0,56.0
"High exposure, selling",point,60.0,28.0
"High exposure, selling",point,35.0,34.0
"High exposure, selling",point,51.0,49.0
"High exposure, selling",point,55.0,45.0
"High exposure, selling",point,53.0,53.0
"High exposure, selling",point,37.0,31.0
"High exposure, selling",point,36.0,47.0
"High exposure, selling",point,52.0,41.0
"High exposure, selling",point,51.0,39.0
"High exposure, selling",point,49.0,74.0
"High exposure, selling",point,70.0,41.0
"High exposure, selling",point,70.0,56.0
"High exposure, selling",point,74.0,49.0
"High exposure, selling",point,59.0,45.0
"High exposure, selling",point,36.0,24.0
"High exposure, selling",point,26.0,63.0
"High exposure, selling",point,46.0,41.0
"High exposure, selling",point,25.0,40.0
"High exposure, selling",point,51.0,45.0
"High exposure, selling",point,46.0,38.0
"High exposure, selling",point,45.0,28.0
"High exposure, selling",point,46.0,41.0
"High exposure, selling",point,74.0,47.0
"High exposure, selling",point,38.0,42.0
"High exposure, selling",point,67.0,39.0
"High exposure, selling",point,36.0,57.0
"High exposure, selling",point,38.0,13.0
"High exposure, selling",point,41.0,57.0
"High exposure, selling",point,26.0,63.0
"High exposure, selling",point,33.0,49.0
"High exposure, selling",point,37.0,22.0
"High exposure, selling",point,28.0,18.0
"High exposure, selling",point,31.0,31.0
"High exposure, selling",point,26.0,43.0
"High exposure, selling",point,57.0,66.0
"High exposure, selling",point,51.0,37.0
"High exposure, selling",point,41.0,26.0
"High exposure, selling",point,24.0,42.0
"High exposure, selling",point,47.0,44.0
"High exposure, selling",point,24.0,26.0
"High exposure, selling",point,24.0,21.0
"High exposure, selling",point,39.0,39.0
"High exposure, selling",point,24.0,28.0
"High exposure, selling",point,54.0,29.0
"High exposure, selling",point,37.0,31.0
"High exposure, selling",point,54.0,37.0
"High exposure, selling",point,63.0,63.0
"High exposure, selling",point,35.0,40.0
"High exposure, selling",point,30.0,21.0
"High exposure, selling",point,40.0,33.0
"High exposure, selling",point,62.0,55.0
"High exposure, selling",point,42.0,25.0
"High exposure, selling",point,32.0,43.0
"High exposure, selling",point,40.0,18.0
"High exposure, selling",point,65.0,55.0
"High exposure, selling",point,56.0,53.0
"High exposure, selling",point,40.0,59.0
"High exposure, selling",point,43.0,33.0
"High exposure, selling",point,24.0,46.0
"High exposure, selling",point,57.0,47.0
"High exposure, selling",point,24.0,26.0
"High exposure, selling",point,45.0,49.0
"High exposure, selling",point,37.0,40.0
"High exposure, selling",point,37.0,19.0
"High exposure, selling",point,25.0,22.0
"High exposure, selling",point,33.0,33.0
"High exposure, selling",point,62.0,53.0
"High exposure, selling",point,24.0,15.0
"High exposure, selling",point,32.0,22.0
"High exposure, selling",point,46.0,20.0
"High exposure, selling",point,61.0,55.0
"High exposure, selling",point,60.0,64.0
"High exposure, selling",point,53.0,41.0
"High exposure, selling",point,55.0,16.0
"High exposure, selling",point,52.0,35.0
"High exposure, selling",point,52.0,32.0
"High exposure, selling",point,52.0,33.0
"High exposure, selling",point,41.0,45.0
"High exposure, selling",point,28.0,22.0
"High exposure, selling",point,39.0,50.0
"High exposure, selling",point,54.0,31.0
"High exposure, selling",point,46.0,52.0
"High exposure, selling",point,42.0,52.0
"High exposure, selling",point,47.0,49.0
"High exposure, selling",point,35.0,52.0
"High exposure, selling",point,46.0,27.0
"High exposure, selling",point,65.0,50.0
"High exposure, selling",point,42.0,50.0
"High exposure, selling",point,27.0,45.0
"High exposure, selling",point,33.0,29.0
"High exposure, selling",point,34.0,38.0
"High exposure, selling",point,24.0,9.0
"High exposure, selling",point,24.0,23.0
"High exposure, selling",point,35.0,53.0
