panel,state,income,expenditure,kind
Figure 2b: Housing Expenditures,MI,42405.276902926686,4163.254984349538,point
Figure 2b: Housing Expenditures,MN,41643.99241081563,1404.7832156637585,point
Figure 2b: Housing Expenditures,MO,41716.01529557786,-2579.3759213509466,point
Figure 2b: Housing Expenditures,MS,44029.53164438508,7050.239188942596,point
Figure 2b: Housing Expenditures,NC,48074.55971924431,6116.414790088612,point
Figure 2b: Housing Expenditures,ND,44559.98349732166,1661.6829196376852,point
Figure 2b: Housing Expenditures,NE,46205.08545866083,9273.461744153552,point
Figure 2b: Housing Expenditures,NH,47594.00784767715,6930.818773204284,point
Figure 2b: Housing Expenditures,NJ,49668.00420698339,4456.581324633758,point
Figure 2b: Housing Expenditures,NM,48785.97596922641,8824.246184363721,point
Figure 2b: Housing Expenditures,NV,47949.86539550102,6556.347712531531,point
Figure 2b: Housing Expenditures,NY,46751.03445301055,4537.864289659172,point
Figure 2b: Housing Expenditures,OH,52597.465376686094,5164.055102323369,point
Figure 2b: Housing Expenditures,OK,54451.97513093681,7430.3915109975715,point
Figure 2b: Housing Expenditures,OR,52966.12556645047,13368.460171686873,point
Figure 2b: Housing Expenditures,PA,43921.09771675593,-1778.9558532735477,point
Figure 2b: Housing Expenditures,RI,54501.82698135854,8279.089008055287,point
Figure 2b: Housing Expenditures,SC,51803.984321700824,7140.72807015549,point
Figure 2b: Housing Expenditures,TN,51274.72043165094,8268.989963752667,point
Figure 2b: Housing Expenditures,TX,52229.58020344269,5962.209234414313,point
Figure 2b: Housing Expenditures,UT,49374.3727226006,6253.475761514478,point
Figure 2b: Housing Expenditures,VA,57466.91342137817,8680.064041811827,point
Figure 2b: Housing Expenditures,VT,54778.09743454866,15272.216113226705,point
Figure 2b: Housing Expenditures,WA,52389.91160456744,11024.522105683332,point
Figure 2b: Housing Expenditures,WI,54157.77115240576,11136.390835680892,point
Figure 2b: Housing Expenditures,WV,56806.51177426065,9754.135378343664,point
Figure 2b: Housing Expenditures,,34000.0,-5800.0,fit
Figure 2b: Housing Expenditures,,57000.0,12600.0,fit
