panel,x,density
"Crop 2 (time + pieces, $0.3/p)",0.40000000000000036,0.4430821927207857
"Crop 2 (time + pieces, $0.3/p)",0.5,0.4201905692416744
"Crop 2 (time + pieces, $0.3/p)",0.6000000000000005,0.3979361080467495
"Crop 2 (time + pieces, $0.3/p)",0.7000000000000002,0.3729223689244924
"Crop 2 (time + pieces, $0.3/p)",0.8000000000000007,0.34510894962185557
"Crop 2 (time + pieces, $0.3/p)",0.9000000000000004,0.3152814686204642
"Crop 2 (time + pieces, $0.3/p)",1.0,0.2843369371490074
"Crop 2 (time + pieces, $0.3/p)",1.1000000000000005,0.25313955137195615
"Crop 2 (time + pieces, $0.3/p)",1.2000000000000002,0.22247365534849284
"Crop 2 (time + pieces, $0.3/p)",1.3000000000000007,0.19301409882085582
"Crop 2 (time + pieces, $0.3/p)",1.4000000000000004,0.16530703442656186
"Crop 2 (time + pieces, $0.3/p)",1.5,0.1397608375539822
"Crop 2 (time + pieces, $0.3/p)",1.6000000000000005,0.1166464464489742
"Crop 2 (time + pieces, $0.3/p)",1.7000000000000002,0.09610575382906698
"Crop 2 (time + pieces, $0.3/p)",1.8000000000000007,0.07816622253033156
"Crop 2 (time + pieces, $0.3/p)",1.9000000000000004,0.06275967967591674
"Crop 2 (time + pieces, $0.3/p)",2.0,0.04974325156007255
"Crop 2 (time + pieces, $0.3/p)",2.1000000000000005,0.03892059588465886
"Crop 2 (time + pieces, $0.3/p)",2.2,0.030061915501236477
"Crop 2 (time + pieces, $0.3/p)",2.3000000000000007,0.02292163945961981
"Crop 2 (time + pieces, $0.3/p)",2.4000000000000004,0.017253077094333283
"Crop 2 (time + pieces, $0.3/p)",2.5,0.012819742655510634
"Crop 2 (time + pieces, $0.3/p)",2.6000000000000005,0.00940337833685619
"Crop 2 (time + pieces, $0.3/p)",2.7,0.006808953543936615
"Crop 2 (time + pieces, $0.3/p)",2.8000000000000007,0.004867082307649538
"Crop 2 (time + pieces, $0.3/p)",2.9000000000000004,0.003434384130907672
"Crop 2 (time + pieces, $0.3/p)",3.0,0.0023923290021939246
"Crop 2 (time + pieces, $0.3/p)",3.0999999999999996,0.001645071582188984
"Crop 2 (time + pieces, $0.3/p)",3.200000000000001,0.001116710381555441
"Crop 2 (time + pieces, $0.3/p)",3.3000000000000007,0.000748321400641878
"Crop 2 (time + pieces, $0.3/p)",3.4000000000000004,0.0004950255736606701
"Crop 2 (time + pieces, $0.3/p)",3.5,0.0003232652073005674
"Crop 2 (time + pieces, $0.3/p)",3.5999999999999996,0.00020839253209952433
"Crop 2 (time + pieces, $0.3/p)",3.700000000000001,0.0001326163886638451
"Crop 2 (time + pieces, $0.3/p)",3.8000000000000007,8.33113364547317e-05
"Crop 2 (time + pieces, $0.3/p)",3.9000000000000004,5.1665764954656836e-05
"Crop 2 (time + pieces, $0.3/p)",4.0,3.162958435138054e-05
"Crop 2 (time + pieces, $0.3/p)",4.1,1.911507314639745e-05
"Crop 2 (time + pieces, $0.3/p)",4.200000000000001,1.1403818644997178e-05
"Crop 2 (time + pieces, $0.3/p)",4.300000000000001,6.716089861988681e-06
"Crop 2 (time + pieces, $0.3/p)",4.4,3.904582047637701e-06
"Crop 2 (time + pieces, $0.3/p)",4.5,2.2409102668880897e-06
"Crop 2 (time + pieces, $0.3/p)",4.600000000000001,1.2695980245749635e-06
"Crop 2 (time + pieces, $0.3/p)",4.700000000000001,7.100678806011436e-07
"Crop 2 (time + pieces, $0.3/p)",4.800000000000001,3.9203546493967677e-07
"Crop 2 (time + pieces, $0.3/p)",4.9,2.1366958358424757e-07
"Crop 2 (time + pieces, $0.3/p)",5.0,1.1496136428039325e-07
"Crop 3 (time + pieces, $1/p)",-5.0,3.0009760701783253e-07
"Crop 3 (time + pieces, $1/p)",-4.9,5.322551083285063e-07
"Crop 3 (time + pieces, $1/p)",-4.8,9.329235704300469e-07
"Crop 3 (time + pieces, $1/p)",-4.7,1.6159994725372803e-06
"Crop 3 (time + pieces, $1/p)",-4.6,2.766338271849287e-06
"Crop 3 (time + pieces, $1/p)",-4.5,4.679918362348402e-06
"Crop 3 (time + pieces, $1/p)",-4.4,7.82420445918926e-06
"Crop 3 (time + pieces, $1/p)",-4.3,1.2927395203343216e-05
"Crop 3 (time + pieces, $1/p)",-4.2,2.1108179682280226e-05
"Crop 3 (time + pieces, $1/p)",-4.1,3.406116205350373e-05
"Crop 3 (time + pieces, $1/p)",-4.0,5.431716070795294e-05
"Crop 3 (time + pieces, $1/p)",-3.9,8.560193491220593e-05
"Crop 3 (time + pieces, $1/p)",-3.8,0.00013332114170723413
"Crop 3 (time + pieces, $1/p)",-3.7,0.00020520285004712213
"Crop 3 (time + pieces, $1/p)",-3.5999999999999996,0.0003121308349731135
"Crop 3 (time + pieces, $1/p)",-3.5,0.0004692009485569016
"Crop 3 (time + pieces, $1/p)",-3.4,0.0006970276564734192
"Crop 3 (time + pieces, $1/p)",-3.3,0.0010233166975593796
"Crop 3 (time + pieces, $1/p)",-3.2,0.0014847011075065112
"Crop 3 (time + pieces, $1/p)",-3.0999999999999996,0.0021288101189654196
"Crop 3 (time + pieces, $1/p)",-3.0,0.003016502855969013
"Crop 3 (time + pieces, $1/p)",-2.9,0.004224151416723613
"Crop 3 (time + pieces, $1/p)",-2.8,0.005845802454582219
"Crop 3 (time + pieces, $1/p)",-2.6999999999999997,0.007994986132839993
"Crop 3 (time + pieces, $1/p)",-2.5999999999999996,0.01080588187833672
"Crop 3 (time + pieces, $1/p)",-2.5,0.014433499397591951
"Crop 3 (time + pieces, $1/p)",-2.4,0.01905250053648756
"Crop 3 (time + pieces, $1/p)",-2.3,0.024854283520310064
"Crop 3 (time + pieces, $1/p)",-2.1999999999999997,0.032041986662793745
"Crop 3 (time + pieces, $1/p)",-2.0999999999999996,0.040823152937421156
"Crop 3 (time + pieces, $1/p)",-2.0,0.051399935522977266
"Crop 3 (time + pieces, $1/p)",-1.9,0.06395691777188174
"Crop 3 (time + pieces, $1/p)",-1.7999999999999998,0.07864686203721541
"Crop 3 (time + pieces, $1/p)",-1.6999999999999997,0.09557497520215837
"Crop 3 (time + pieces, $1/p)",-1.5999999999999996,0.1147825609845688
"Crop 3 (time + pieces, $1/p)",-1.5,0.13623118934626802
"Crop 3 (time + pieces, $1/p)",-1.4,0.15978871622632002
"Crop 3 (time + pieces, $1/p)",-1.2999999999999998,0.18521859627211704
"Crop 3 (time + pieces, $1/p)",-1.1999999999999997,0.21217391544257
"Crop 3 (time + pieces, $1/p)",-1.0999999999999996,0.24019740705787565
"Crop 3 (time + pieces, $1/p)",-1.0,0.26872839652083996
"Crop 3 (time + pieces, $1/p)",-0.8999999999999995,0.2971171647079782
"Crop 3 (time + pieces, $1/p)",-0.7999999999999998,0.3246468466188222
"Crop 3 (time + pieces, $1/p)",-0.7000000000000002,0.3505655948369354
"Crop 3 (time + pieces, $1/p)",-0.5999999999999996,0.3741627086467298
"Crop 3 (time + pieces, $1/p)",-0.5,0.3950908396210496
"Crop 3 (time + pieces, $1/p)",-0.39999999999999947,0.4144669380345048
"Crop 3 (time + pieces, $1/p)",-0.2999999999999998,0.43640392792495997
"Crop 3 (time + pieces, $1/p)",-0.1999999999999993,0.4653255372626387
"Crop 3 (time + pieces, $1/p)",-0.09999999999999964,0.4951630950830136
"Crop 3 (time + pieces, $1/p)",0.0,0.5058805113274656
"Crop 3 (time + pieces, $1/p)",0.10000000000000053,0.48503668281065027
"Crop 3 (time + pieces, $1/p)",0.20000000000000018,0.4454270852024021
"Crop 3 (time + pieces, $1/p)",0.3000000000000007,0.40742159295695435
"Crop 3 (time + pieces, $1/p)",0.40000000000000036,0.3773831532988299
"Crop 3 (time + pieces, $1/p)",0.5,0.35112704933711725
"Crop 3 (time + pieces, $1/p)",0.6000000000000005,0.324712679549357
"Crop 3 (time + pieces, $1/p)",0.7000000000000002,0.2971223735145848
"Crop 3 (time + pieces, $1/p)",0.8000000000000007,0.26872867503437337
"Crop 3 (time + pieces, $1/p)",0.9000000000000004,0.2401974171286099
"Crop 3 (time + pieces, $1/p)",1.0,0.2121739156888996
"Crop 3 (time + pieces, $1/p)",1.1000000000000005,0.18521859627619316
"Crop 3 (time + pieces, $1/p)",1.2000000000000002,0.15978871622636556
"Crop 3 (time + pieces, $1/p)",1.3000000000000007,0.13623118934626816
"Crop 3 (time + pieces, $1/p)",1.4000000000000004,0.1147825609845686
"Crop 3 (time + pieces, $1/p)",1.5,0.09557497520215827
"Crop 3 (time + pieces, $1/p)",1.6000000000000005,0.07864686203721526
"Crop 3 (time + pieces, $1/p)",1.7000000000000002,0.06395691777188169
"Crop 3 (time + pieces, $1/p)",1.8000000000000007,0.051399935522977176
"Crop 3 (time + pieces, $1/p)",1.9000000000000004,0.040823152937421066
"Crop 3 (time + pieces, $1/p)",2.0,0.03204198666279372
"Crop 3 (time + pieces, $1/p)",2.1000000000000005,0.024854283520310022
"Crop 3 (time + pieces, $1/p)",2.2,0.019052500536487545
"Crop 3 (time + pieces, $1/p)",2.3000000000000007,0.0144334993975919
"Crop 3 (time + pieces, $1/p)",2.4000000000000004,0.010805881878336681
"Crop 3 (time + pieces, $1/p)",2.5,0.007994986132839983
"Crop 3 (time + pieces, $1/p)",2.6000000000000005,0.005845802454582204
"Crop 3 (time + pieces, $1/p)",2.7,0.004224151416723609
"Crop 3 (time + pieces, $1/p)",2.8000000000000007,0.0030165028559690043
"Crop 3 (time + pieces, $1/p)",2.9000000000000004,0.002128810118965414
"Crop 3 (time + pieces, $1/p)",3.0,0.0014847011075065112
"Crop 3 (time + pieces, $1/p)",3.0999999999999996,0.0010233166975593796
"Crop 3 (time + pieces, $1/p)",3.200000000000001,0.0006970276564734148
"Crop 3 (time + pieces, $1/p)",3.3000000000000007,0.00046920094855689906
"Crop 3 (time + pieces, $1/p)",3.4000000000000004,0.0003121308349731119
"Crop 3 (time + pieces, $1/p)",3.5,0.00020520285004712213
"Crop 3 (time + pieces, $1/p)",3.5999999999999996,0.00013332114170723413
"Crop 3 (time + pieces, $1/p)",3.700000000000001,8.560193491220532e-05
"Crop 3 (time + pieces, $1/p)",3.8000000000000007,5.4317160707952746e-05
"Crop 3 (time + pieces, $1/p)",3.9000000000000004,3.406116205350373e-05
"Crop 3 (time + pieces, $1/p)",4.0,2.11081796822803e-05
"Crop 3 (time + pieces, $1/p)",4.1,1.2927395203343262e-05
"Crop 3 (time + pieces, $1/p)",4.200000000000001,7.82420445918926e-06
"Crop 3 (time + pieces, $1/p)",4.300000000000001,4.679918362348402e-06
"Crop 3 (time + pieces, $1/p)",4.4,2.766338271849287e-06
"Crop 3 (time + pieces, $1/p)",4.5,1.615999472537286e-06
"Crop 3 (time + pieces, $1/p)",4.600000000000001,9.329235704300437e-07
"Crop 3 (time + pieces, $1/p)",4.700000000000001,5.322551083285063e-07
"Crop 3 (time + pieces, $1/p)",4.800000000000001,3.0009760701783253e-07
"Crop 3 (time + pieces, $1/p)",4.9,1.6721458217122676e-07
"Crop 3 (time + pieces, $1/p)",5.0,9.207774718911108e-08
Total,-5.0,0.00010133284617934245
Total,-4.9,0.00014577246817467233
Total,-4.8,0.00020797520580773506
Total,-4.7,0.0002942784146299587
Total,-4.6,0.00041296765924076867
Total,-4.5,0.0005747572601299176
Total,-4.4,0.0007933479045870546
Total,-4.3,0.0010860596569632467
Total,-4.2,0.0014745329221833366
Total,-4.1,0.001985482460735934
Total,-4.0,0.0026514804283591397
Total,-3.9,0.003511733786390863
Total,-3.8,0.004612809671130675
Total,-3.7,0.006009250033989861
Total,-3.5999999999999996,0.007764004939486062
Total,-3.5,0.009948603462656653
Total,-3.4,0.012642973512509016
Total,-3.3,0.015934818630516854
Total,-3.2,0.019918462428257948
Total,-3.0999999999999996,0.024693081295419677
Total,-3.0,0.030360264516273185
Total,-2.9,0.03702086870075726
Total,-2.8,0.04477117052515787
Total,-2.6999999999999997,0.053698367411435986
Total,-2.5999999999999996,0.06387552821747941
Total,-2.5,0.07535615251576061
Total,-2.4,0.08816855389399327
Total,-2.3,0.10231033540482405
Total,-2.1999999999999997,0.11774326878717438
Total,-2.0999999999999996,0.13438891821496066
Total,-2.0,0.15212535928512458
Total,-1.9,0.17078533079986366
Total,-1.7999999999999998,0.19015611809368388
Total,-1.6999999999999997,0.20998140153310316
Total,-1.5999999999999996,0.2299652139011056
Total,-1.5,0.24977803954459055
Total,-1.4,0.2690649625635105
Total,-1.2999999999999998,0.2874556390697319
Total,-1.1999999999999997,0.3045757391659431
Total,-1.0999999999999996,0.3200593879811341
Total,-1.0,0.3335620424828622
Total,-0.8999999999999995,0.3447732065910299
Total,-0.7999999999999998,0.3534290467538308
Total,-0.7000000000000002,0.3593358472285971
Total,-0.5999999999999996,0.36252070207465026
Total,-0.5,0.36418924104516986
Total,-0.39999999999999947,0.37027363876568425
Total,-0.2999999999999998,0.3964195399458166
Total,-0.1999999999999993,0.458928851376465
Total,-0.09999999999999964,0.5386626470055957
Total,0.0,0.5693983132184405
Total,0.10000000000000053,0.5096763445097747
Total,0.20000000000000018,0.4016113174378692
Total,0.3000000000000007,0.3120563849551924
Total,0.40000000000000036,0.26073322735307075
Total,0.5,0.23185412517310475
Total,0.6000000000000005,0.2102017738345827
Total,0.7000000000000002,0.19017351436507704
Total,0.8000000000000007,0.1707862599995602
Total,0.9000000000000004,0.1521253928678286
Total,1.0,0.1343889190362117
Total,1.1000000000000005,0.11774326880076329
Total,1.2000000000000002,0.10231033540497611
Total,1.3000000000000007,0.08816855389399433
Total,1.4000000000000004,0.07535615251576057
Total,1.5,0.06387552821747941
Total,1.6000000000000005,0.05369836741143589
Total,1.7000000000000002,0.04477117052515787
Total,1.8000000000000007,0.0370208687007572
Total,1.9000000000000004,0.030360264516273185
Total,2.0,0.024693081295419677
Total,2.1000000000000005,0.019918462428257948
Total,2.2,0.015934818630516854
Total,2.3000000000000007,0.012642973512508987
Total,2.4000000000000004,0.009948603462656653
Total,2.5,0.007764004939486062
Total,2.6000000000000005,0.006009250033989861
Total,2.7,0.004612809671130675
Total,2.8000000000000007,0.0035117337863908534
Total,2.9000000000000004,0.0026514804283591397
Total,3.0,0.001985482460735934
Total,3.0999999999999996,0.0014745329221833418
Total,3.200000000000001,0.001086059656963244
Total,3.3000000000000007,0.0007933479045870546
Total,3.4000000000000004,0.0005747572601299176
Total,3.5,0.00041296765924076867
Total,3.5999999999999996,0.0002942784146299597
Total,3.700000000000001,0.0002079752058077343
Total,3.8000000000000007,0.00014577246817467233
Total,3.9000000000000004,0.00010133284617934245
Total,4.0,6.986115545629309e-05
Total,4.1,4.776745212036042e-05
Total,4.200000000000001,3.239210555881342e-05
Total,4.300000000000001,2.1784975232033712e-05
Total,4.4,1.4530673733550432e-05
Total,4.5,9.61225363120306e-06
Total,4.600000000000001,6.306312407172184e-06
Total,4.700000000000001,4.103330803668775e-06
Total,4.800000000000001,2.6479413952119306e-06
Total,4.9,1.6946928489904637e-06
Total,5.0,1.0756832701719104e-06
