panel,series,line,x,density
Control,Baseline,solid,10.625,0.0011906130862891096
Control,Baseline,solid,10.75,0.000992741230367967
Control,Baseline,solid,10.875,0.0008250864055154262
Control,Baseline,solid,11.0,0.0006835350175396325
Control,Baseline,solid,11.125,0.000564442971947218
Control,Baseline,solid,11.25,0.00046459800004007763
Control,Baseline,solid,11.375,0.00038118215996274464
Control,Baseline,solid,11.5,0.00031173514111257366
Control,Baseline,solid,11.625,0.0002541188737418935
Control,Baseline,solid,11.75,0.00020648382962038433
Control,Baseline,solid,11.875,0.00016723729544249465
Control,Baseline,solid,12.0,0.0001350138088640926
Control,Baseline,solid,12.125,0.00010864786776991677
Control,Baseline,solid,12.25,8.714895635542969e-05
Control,Baseline,solid,12.375,6.967887629178343e-05
Control,Baseline,solid,12.5,5.553132683689494e-05
Control,Baseline,solid,12.625,4.411364330241828e-05
Control,Baseline,solid,12.75,3.4930577728146545e-05
Control,Baseline,solid,12.875,2.7569987846990633e-05
Control,Baseline,solid,13.0,2.1690289336911415e-05
Control,Baseline,solid,13.125,1.7009520875322965e-05
Control,Baseline,solid,13.25,1.3295870620676494e-05
Control,Baseline,solid,13.375,1.035951550882598e-05
Control,Baseline,solid,13.5,8.045630324383097e-06
Control,Baseline,solid,13.625,6.228431144941622e-06
Control,Baseline,solid,13.75,4.80612681560153e-06
Control,Baseline,solid,13.875,3.6966620490697684e-06
Control,Baseline,solid,14.0,2.8341461139939364e-06
Control,Baseline,solid,14.125,2.1658715101359734e-06
Control,Baseline,solid,14.25,1.6498372519508366e-06
Control,Baseline,solid,14.375,1.2527011807045372e-06
Control,Baseline,solid,14.5,9.480949487237706e-07
Control,Baseline,solid,14.625,7.152438682951275e-07
Control,Baseline,solid,14.75,5.378416350859552e-07
Control,Baseline,solid,14.875,4.0313699882811215e-07
Control,Baseline,solid,15.0,3.0119576615759103e-07
Control,Endline,dashed,-5.0,0.00010540108970611002
Control,Endline,dashed,-4.875,0.00012998233021936122
Control,Endline,dashed,-4.75,0.00015981643671052746
Control,Endline,dashed,-4.625,0.00019591167324371536
Control,Endline,dashed,-4.5,0.00023944660772315393
Control,Endline,dashed,-4.375,0.000291797538754663
Control,Endline,dashed,-4.25,0.00035457420765720385
Control,Endline,dashed,-4.125,0.0004296701470596647
Control,Endline,dashed,-4.0,0.0005193388893807125
Control,Endline,dashed,-3.875,0.0006263144609350333
Control,Endline,dashed,-3.75,0.0007540038799300296
Control,Endline,dashed,-3.625,0.0009067889941646418
Control,Endline,dashed,-3.5,0.0010904805932440294
Control,Endline,dashed,-3.375,0.0013129615933602586
Control,Endline,dashed,-3.25,0.0015850274791636594
Control,Endline,dashed,-3.125,0.0019213699835440852
Control,Endline,dashed,-3.0,0.002341548520229794
Control,Endline,dashed,-2.875,0.002870661482281526
Control,Endline,dashed,-2.75,0.0035392970656176028
Control,Endline,dashed,-2.625,0.004382267417212779
Control,Endline,dashed,-2.5,0.005435684352793128
Control,Endline,dashed,-2.375,0.006732185627051406
Control,Endline,dashed,-2.25,0.008294588075142488
Control,Endline,dashed,-2.125,0.010128864533019855
Control,Endline,dashed,-2.0,0.012217951882339137
Control,Endline,dashed,-1.875,0.014518260612524574
Control,Endline,dashed,-1.75,0.016960636685975302
Control,Endline,dashed,-1.625,0.019456797868589892
Control,Endline,dashed,-1.5,0.021911005667882646
Control,Endline,dashed,-1.375,0.024235248399389956
Control,Endline,dashed,-1.25,0.02636496782598055
Control,Endline,dashed,-1.125,0.02827182616298759
Control,Endline,dashed,-1.0,0.029970453182894492
Control,Endline,dashed,-0.875,0.03151747768258452
Control,Endline,dashed,-0.75,0.033003041702653314
Control,Endline,dashed,-0.625,0.03453682798098695
Control,Endline,dashed,-0.5,0.03623183316386916
Control,Endline,dashed,-0.375,0.038189359639791226
Control,Endline,dashed,-0.25,0.040487991406841554
Control,Endline,dashed,-0.125,0.043177987872340215
Control,Endline,dashed,0.0,0.04628105478397643
Control,Endline,dashed,0.125,0.04979427949902894
Control,Endline,dashed,0.25,0.05369641241340082
Control,Endline,dashed,0.375,0.05795466853606179
Control,Endline,dashed,0.5,0.06253065602871487
Control,Endline,dashed,0.625,0.06738466830609871
Control,Endline,dashed,0.75,0.07247817596009143
Control,Endline,dashed,0.875,0.07777478042711129
Control,Endline,dashed,1.0,0.08324009868801269
Control,Endline,dashed,1.125,0.08884107012251742
Control,Endline,dashed,1.25,0.09454508320751855
Control,Endline,dashed,1.375,0.10031918280596744
Control,Endline,dashed,1.5,0.10612949007229515
Control,Endline,dashed,1.625,0.11194087236785645
Control,Endline,dashed,1.75,0.11771684483651382
Control,Endline,dashed,1.875,0.12341966108139633
Control,Endline,dashed,2.0,0.12901054633930892
Control,Endline,dashed,2.125,0.13445003244105996
Control,Endline,dashed,2.25,0.13969836268730293
Control,Endline,dashed,2.375,0.1447159428456537
Control,Endline,dashed,2.5,0.14946382043780213
Control,Endline,dashed,2.625,0.15390417831521233
Control,Endline,dashed,2.75,0.15800083073997473
Control,Endline,dashed,2.875,0.16171971139876554
Control,Endline,dashed,3.0,0.1650293434744957
Control,Endline,dashed,3.125,0.16790128241559113
Control,Endline,dashed,3.25,0.17031052257511206
Control,Endline,dashed,3.375,0.1722358595442388
Control,Endline,dashed,3.5,0.17366020082052086
Control,Endline,dashed,3.625,0.1745708184389834
Control,Endline,dashed,3.75,0.1749595383416468
Control,Endline,dashed,3.875,0.17482286254416088
Control,Endline,dashed,4.0,0.17416202154564506
Control,Endline,dashed,4.125,0.1729829558834034
Control,Endline,dashed,4.25,0.17129622721920004
Control,Endline,dashed,4.375,0.1691168608183423
Control,Endline,dashed,4.5,0.16646412270732708
Control,Endline,dashed,4.625,0.16336123613227796
Control,Endline,dashed,4.75,0.15983504315373112
Control,Endline,dashed,4.875,0.15591561827241635
Control,Endline,dashed,5.0,0.15163584185939916
Control,Endline,dashed,5.125,0.14703094184193535
Control,Endline,dashed,5.25,0.14213801255959999
Control,Endline,dashed,5.375,0.1369955199463
Control,Endline,dashed,5.5,0.13164280221202113
Control,Endline,dashed,5.625,0.12611957499953685
Control,Endline,dashed,5.75,0.12046544958796815
Control,Endline,dashed,5.875,0.11471947212479329
Control,Endline,dashed,6.0,0.1089196911132764
Control,Endline,dashed,6.125,0.10310275948986043
Control,Endline,dashed,6.25,0.0973035766253228
Control,Endline,dashed,6.375,0.09155497450573902
Control,Endline,dashed,6.5,0.08588745122661444
Control,Endline,dashed,6.625,0.08032895379769239
Control,Endline,dashed,6.75,0.07490471113738782
Control,Endline,dashed,6.875,0.06963711706277123
Control,Endline,dashed,7.0,0.06454566207880069
Control,Endline,dashed,7.125,0.05964691186071825
Control,Endline,dashed,7.25,0.0549545295237683
Control,Endline,dashed,7.375,0.05047933809787691
Control,Endline,dashed,7.5,0.04622941908038509
Control,Endline,dashed,7.625,0.04221024253165637
Control,Endline,dashed,7.75,0.03842482390642932
Control,Endline,dashed,7.875,0.034873902674299066
Control,Endline,dashed,8.0,0.03155613776833638
Control,Endline,dashed,8.125,0.028468315001279186
Control,Endline,dashed,8.25,0.025605561791259147
Control,Endline,dashed,8.375,0.02296156482917757
Control,Endline,dashed,8.5,0.02052878668198147
Control,Endline,dashed,8.625,0.018298677744008146
Control,Endline,dashed,8.75,0.016261880406056688
Control,Endline,dashed,8.875,0.014408422793206189
Control,Endline,dashed,9.0,0.012727899912866509
Control,Endline,dashed,9.125,0.011209640540662924
Control,Endline,dashed,9.25,0.009842858641638409
Control,Endline,dashed,9.375,0.008616788567809378
Control,Endline,dashed,9.5,0.007520803682117512
Control,Endline,dashed,9.625,0.006544518427001822
Control,Endline,dashed,9.75,0.005677874178777608
Control,Endline,dashed,9.875,0.004911209504168581
Control,Endline,dashed,10.0,0.0042353156617641495
Control,Endline,dashed,10.125,0.0036414783694214588
Control,Endline,dashed,10.25,0.003121506990524862
Control,Endline,dashed,10.375,0.002667752380433464
Control,Endline,dashed,10.5,0.0022731146830883907
Control,Endline,dashed,10.625,0.0019310423809143409
Control,Endline,dashed,10.75,0.0016355238835149494
Control,Endline,dashed,10.875,0.0013810728970969348
Control,Endline,dashed,11.0,0.0011627087519430258
Control,Endline,dashed,11.125,0.0009759327843295158
Control,Endline,dashed,11.25,0.0008167017765300241
Control,Endline,dashed,11.375,0.0006813993580842092
Control,Endline,dashed,11.5,0.0005668061670321936
Control,Endline,dashed,11.625,0.0004700694645439393
Control,Endline,dashed,11.75,0.0003886727930343379
Control,Endline,dashed,11.875,0.0003204061686794894
Control,Endline,dashed,12.0,0.0002633372059849239
Control,Endline,dashed,12.125,0.0002157834859953024
Control,Endline,dashed,12.25,0.00017628640175354485
Control,Endline,dashed,12.375,0.00014358664522024766
Control,Endline,dashed,12.5,0.00011660143923443995
Control,Endline,dashed,12.625,9.440356614654697e-05
Control,Endline,dashed,12.75,7.620220117651335e-05
Control,Endline,dashed,12.875,6.132552286658965e-05
Control,Endline,dashed,13.0,4.920504460634487e-05
Control,Endline,dashed,13.125,3.9361589420391867e-05
Control,Endline,dashed,13.25,3.1392814292712435e-05
Control,Endline,dashed,13.375,2.49621795042537e-05
Control,Endline,dashed,13.5,1.9789252040205184e-05
Control,Endline,dashed,13.625,1.564122936651755e-05
Control,Endline,dashed,13.75,1.232557011251964e-05
Control,Endline,dashed,13.875,9.683620813664651e-06
Control,Endline,dashed,14.0,7.58513231319706e-06
Control,Endline,dashed,14.125,5.923565206982507e-06
Control,Endline,dashed,14.25,4.612090421107466e-06
Control,Endline,dashed,14.375,3.5801982808605407e-06
Control,Endline,dashed,14.5,2.7708369673092455e-06
Control,Endline,dashed,14.625,2.1380088255029566e-06
Control,Endline,dashed,14.75,1.644760399290179e-06
Control,Endline,dashed,14.875,1.2615091802370817e-06
Control,Endline,dashed,15.0,9.646567700738237e-07
Treatment,Baseline,solid,-5.0,2.153308208930428e-05
Treatment,Baseline,solid,-4.875,2.788305365660628e-05
Treatment,Baseline,solid,-4.75,3.597271857061793e-05
Treatment,Baseline,solid,-4.625,4.624015786797137e-05
Treatment,Baseline,solid,-4.5,5.9225117185553975e-05
Treatment,Baseline,solid,-4.375,7.559334342597138e-05
Treatment,Baseline,solid,-4.25,9.617029619932854e-05
Treatment,Baseline,solid,-4.125,0.00012199091865129166
Treatment,Baseline,solid,-4.0,0.0001543770598908247
Treatment,Baseline,solid,-3.875,0.0001950613746144386
Treatment,Baseline,solid,-3.75,0.00024638584172690547
Treatment,Baseline,solid,-3.625,0.0003116126749986659
Treatment,Baseline,solid,-3.5,0.00039539099855360744
Treatment,Baseline,solid,-3.375,0.0005044165079475311
Treatment,Baseline,solid,-3.25,0.0006482926896923737
Treatment,Baseline,solid,-3.125,0.0008405399119336564
Treatment,Baseline,solid,-3.0,0.0010995971519315482
Treatment,Baseline,solid,-2.875,0.001449528616182888
Treatment,Baseline,solid,-2.75,0.0019200149188485552
Treatment,Baseline,solid,-2.625,0.00254513245971356
Treatment,Baseline,solid,-2.5,0.003360478895137237
Treatment,Baseline,solid,-2.375,0.004398453114786257
Treatment,Baseline,solid,-2.25,0.005681965231548751
Treatment,Baseline,solid,-2.125,0.007217472422795116
Treatment,Baseline,solid,-2.0,0.008988846631523231
Treatment,Baseline,solid,-1.875,0.010953942914175806
Treatment,Baseline,solid,-1.75,0.01304561735648922
Treatment,Baseline,solid,-1.625,0.015178214618079413
Treatment,Baseline,solid,-1.5,0.017259283945020094
Treatment,Baseline,solid,-1.375,0.01920479671599571
Treatment,Baseline,solid,-1.25,0.020954895423273154
Treatment,Baseline,solid,-1.125,0.022486668327637103
Treatment,Baseline,solid,-1.0,0.02382088704759347
Treatment,Baseline,solid,-0.875,0.02502100905451598
Treatment,Baseline,solid,-0.75,0.026184641464021816
Treatment,Baseline,solid,-0.625,0.027429495013473377
Treatment,Baseline,solid,-0.5,0.028877059678745546
Treatment,Baseline,solid,-0.375,0.030637474358326526
Treatment,Baseline,solid,-0.25,0.03279835633254099
Treatment,Baseline,solid,-0.125,0.03541902551295548
Treatment,Baseline,solid,0.0,0.03853008468130949
Treatment,Baseline,solid,0.125,0.042137145845798654
Treatment,Baseline,solid,0.25,0.04622688838466074
Treatment,Baseline,solid,0.375,0.05077362770795239
Treatment,Baseline,solid,0.5,0.05574500683122934
Treatment,Baseline,solid,0.625,0.06110605375057961
Treatment,Baseline,solid,0.75,0.06682144774820659
Treatment,Baseline,solid,0.875,0.07285626380040049
Treatment,Baseline,solid,1.0,0.07917567179665855
Treatment,Baseline,solid,1.125,0.08574408903234013
Treatment,Baseline,solid,1.25,0.09252419065945579
Treatment,Baseline,solid,1.375,0.09947604521670717
Treatment,Baseline,solid,1.5,0.10655651274342634
Treatment,Baseline,solid,1.625,0.1137189471916515
Treatment,Baseline,solid,1.75,0.12091318771167804
Treatment,Baseline,solid,1.875,0.12808579758075717
Treatment,Baseline,solid,2.0,0.13518050374997578
Treatment,Baseline,solid,2.125,0.14213879402978424
Treatment,Baseline,solid,2.25,0.14890063589821498
Treatment,Baseline,solid,2.375,0.1554052871529422
Treatment,Baseline,solid,2.5,0.16159217286334612
Treatment,Baseline,solid,2.625,0.1674018053633719
Treatment,Baseline,solid,2.75,0.1727767249488748
Treatment,Baseline,solid,2.875,0.17766243916978622
Treatment,Baseline,solid,3.0,0.18200833867939045
Treatment,Baseline,solid,3.125,0.18576856789050944
Treatment,Baseline,solid,3.25,0.1889028294112066
Treatment,Baseline,solid,3.375,0.19137710249887227
Treatment,Baseline,solid,3.5,0.19316425761238473
Treatment,Baseline,solid,3.625,0.19424455153619075
Treatment,Baseline,solid,3.75,0.19460599043972612
Treatment,Baseline,solid,3.875,0.19424455153617942
Treatment,Baseline,solid,4.0,0.1931642576123359
Treatment,Baseline,solid,4.125,0.19137710249867917
Treatment,Baseline,solid,4.25,0.18890282941047273
Treatment,Baseline,solid,4.375,0.18576856788782184
Treatment,Baseline,solid,4.5,0.18200833866990515
Treatment,Baseline,solid,4.625,0.17766243913752536
Treatment,Baseline,solid,4.75,0.17277672484313464
Treatment,Baseline,solid,4.875,0.16740180502937463
Treatment,Baseline,solid,5.0,0.16159217184666527
Treatment,Baseline,solid,5.125,0.1554052841705471
Treatment,Baseline,solid,5.25,0.14890062746710964
Treatment,Baseline,solid,5.375,0.14213877106075354
Treatment,Baseline,solid,5.5,0.1351804434468763
Treatment,Baseline,solid,5.625,0.12808564500855493
Treatment,Baseline,solid,5.75,0.12091281570562316
Treatment,Baseline,solid,5.875,0.11371807308703105
Treatment,Baseline,solid,6.0,0.10655453342514146
Treatment,Baseline,solid,6.125,0.09947172598332515
Treatment,Baseline,solid,6.25,0.09251510750877312
Treatment,Baseline,solid,6.375,0.08572568109275655
Treatment,Baseline,solid,6.5,0.07913972065757513
Treatment,Baseline,solid,6.625,0.07278859960161334
Treatment,Baseline,solid,6.75,0.06669871963833754
Treatment,Baseline,solid,6.875,0.06089153366513326
Treatment,Baseline,solid,7.0,0.055383654641860215
Treatment,Baseline,solid,7.125,0.0501870409792467
Treatment,Baseline,solid,7.25,0.04530924785018248
Treatment,Baseline,solid,7.375,0.04075373314376811
Treatment,Baseline,solid,7.5,0.036520206469793606
Treatment,Baseline,solid,7.625,0.03260500966503722
Treatment,Baseline,solid,7.75,0.029001517617108768
Treatment,Baseline,solid,7.875,0.02570054886338331
Treatment,Baseline,solid,8.0,0.022690776293349448
Treatment,Baseline,solid,8.125,0.019959129330915846
Treatment,Baseline,solid,8.25,0.017491180146672124
Treatment,Baseline,solid,8.375,0.015271507697966147
Treatment,Baseline,solid,8.5,0.013284034669296667
Treatment,Baseline,solid,8.625,0.011512333643918602
Treatment,Baseline,solid,8.75,0.009939900042434655
Treatment,Baseline,solid,8.875,0.008550390484667582
Treatment,Baseline,solid,9.0,0.007327826243253792
Treatment,Baseline,solid,9.125,0.006256762344007619
Treatment,Baseline,solid,9.25,0.005322423618616483
Treatment,Baseline,solid,9.375,0.004510809625196595
Treatment,Baseline,solid,9.5,0.003808770822660933
Treatment,Baseline,solid,9.625,0.003204058721358748
Treatment,Baseline,solid,9.75,0.0026853529444255727
Treatment,Baseline,solid,9.875,0.0022422682339729447
Treatment,Baseline,solid,10.0,0.0018653444378489523
Treatment,Baseline,solid,10.125,0.001546022431545299
Treatment,Baseline,solid,10.25,0.0012766087816268028
Treatment,Baseline,solid,10.375,0.0010502317572609655
Treatment,Baseline,solid,10.5,0.0008607910596788813
Treatment,Baseline,solid,10.625,0.0007029033791446771
Treatment,Baseline,solid,10.75,0.0005718456171877041
Treatment,Baseline,solid,10.875,0.0004634973387125869
Treatment,Baseline,solid,11.0,0.00037428375263110256
Treatment,Baseline,solid,11.125,0.00030112026757449516
Treatment,Baseline,solid,11.25,0.0002413594360698392
Treatment,Baseline,solid,11.375,0.00019274088975844834
Treatment,Baseline,solid,11.5,0.00015334468185796926
Treatment,Baseline,solid,11.625,0.00012154829197448504
Treatment,Baseline,solid,11.75,9.598741240287284e-05
Treatment,Baseline,solid,11.875,7.552052325643237e-05
Treatment,Baseline,solid,12.0,5.919717457638315e-05
Treatment,Baseline,solid,12.125,4.6229824996184385e-05
Treatment,Baseline,solid,12.25,3.5969036314958575e-05
Treatment,Baseline,solid,12.375,2.788178907852613e-05
Treatment,Baseline,solid,12.5,2.1532663569344973e-05
Treatment,Baseline,solid,12.625,1.656762113561051e-05
Treatment,Baseline,solid,12.75,1.2700120354574187e-05
Treatment,Baseline,solid,12.875,9.69930912490327e-06
Treatment,Baseline,solid,13.0,7.3800456359704305e-06
Treatment,Baseline,solid,13.125,5.594516720147278e-06
Treatment,Baseline,solid,13.25,4.225240044915866e-06
Treatment,Baseline,solid,13.375,3.179255860249859e-06
Treatment,Baseline,solid,13.5,2.3833337118362554e-06
Treatment,Baseline,solid,13.625,1.7800389845872493e-06
Treatment,Baseline,solid,13.75,1.3245228471200825e-06
Treatment,Baseline,solid,13.875,9.819167677589246e-07
Treatment,Baseline,solid,14.0,7.252290315777063e-07
Treatment,Baseline,solid,14.125,5.336554731202627e-07
Treatment,Baseline,solid,14.25,3.9122989856317764e-07
Treatment,Baseline,solid,14.375,2.8575141422081436e-07
Treatment,Baseline,solid,14.5,2.0793616126312466e-07
Treatment,Baseline,solid,14.625,1.5074986715427217e-07
Treatment,Baseline,solid,14.75,1.0888527099019775e-07
Treatment,Baseline,solid,14.875,7.835498229311896e-08
Treatment,Baseline,solid,15.0,5.6175814698003026e-08
Treatment,Endline,dashed,-5.0,4.035714631517168e-05
Treatment,Endline,dashed,-4.875,5.075463592246584e-05
Treatment,Endline,dashed,-4.75,6.363002479136552e-05
Treatment,Endline,dashed,-4.625,7.952223355095722e-05
Treatment,Endline,dashed,-4.5,9.907701752507746e-05
Treatment,Endline,dashed,-4.375,0.00012306905729192585
Treatment,Endline,dashed,-4.25,0.00015243254649503608
Treatment,Endline,dashed,-4.125,0.0001883068000680816
Treatment,Endline,dashed,-4.0,0.00023210830581973764
Treatment,Endline,dashed,-3.875,0.0002856478727188309
Treatment,Endline,dashed,-3.75,0.00035132084876210294
Treatment,Endline,dashed,-3.625,0.000432408023819643
Treatment,Endline,dashed,-3.5,0.0005335304534697266
Treatment,Endline,dashed,-3.375,0.0006612953198928379
Treatment,Endline,dashed,-3.25,0.0008251413428362307
Treatment,Endline,dashed,-3.125,0.0010383300524250032
Treatment,Endline,dashed,-3.0,0.0013189277624859838
Treatment,Endline,dashed,-2.875,0.0016904906627155437
Treatment,Endline,dashed,-2.75,0.00218203296273706
Treatment,Endline,dashed,-2.625,0.0028267821160752942
Treatment,Endline,dashed,-2.5,0.003659279536484413
Treatment,Endline,dashed,-2.375,0.004710635880563716
Treatment,Endline,dashed,-2.25,0.006002217213471616
Treatment,Endline,dashed,-2.125,0.007538658854677777
Treatment,Endline,dashed,-2.0,0.009301714015360611
Treatment,Endline,dashed,-1.875,0.011246807249303362
Treatment,Endline,dashed,-1.75,0.01330404298524002
Treatment,Endline,dashed,-1.625,0.015384690630114394
Treatment,Endline,dashed,-1.5,0.017392906554755873
Treatment,Endline,dashed,-1.375,0.019240967495258908
Treatment,Endline,dashed,-1.25,0.020865046677489677
Treatment,Endline,dashed,-1.125,0.02223802818351865
Treatment,Endline,dashed,-1.0,0.023376297901889262
Treatment,Endline,dashed,-0.875,0.024338813840988942
Treatment,Endline,dashed,-0.75,0.02521865265164323
Treatment,Endline,dashed,-0.625,0.026129061276589264
Treatment,Endline,dashed,-0.5,0.027187244708424714
Treatment,Endline,dashed,-0.375,0.028499361251130565
Treatment,Endline,dashed,-0.25,0.030149489349743513
Treatment,Endline,dashed,-0.125,0.03219399871847691
Treatment,Endline,dashed,0.0,0.03466128403052278
Treatment,Endline,dashed,0.125,0.03755564772513495
Treatment,Endline,dashed,0.25,0.040863513436706536
Treatment,Endline,dashed,0.375,0.04456014409134306
Treatment,Endline,dashed,0.5,0.048615471962443306
Treatment,Endline,dashed,0.625,0.05299827818889523
Treatment,Endline,dashed,0.75,0.05767855937646785
Treatment,Endline,dashed,0.875,0.0626283450077098
Treatment,Endline,dashed,1.0,0.0678214371882543
Treatment,Endline,dashed,1.125,0.07323256649227426
Treatment,Endline,dashed,1.25,0.07883636459273874
Treatment,Endline,dashed,1.375,0.08460641771366653
Treatment,Endline,dashed,1.5,0.09051453643957504
Treatment,Endline,dashed,1.625,0.09653028291594386
Treatment,Endline,dashed,1.75,0.10262074076457291
Treatment,Endline,dashed,1.875,0.10875048875726569
Treatment,Endline,dashed,2.0,0.1148817350666863
Treatment,Endline,dashed,2.125,0.12097457451612004
Treatment,Endline,dashed,2.25,0.12698733969700743
Treatment,Endline,dashed,2.375,0.13287702440733193
Treatment,Endline,dashed,2.5,0.13859976324849832
