panel,x,series,series_order,value
pdf,2.000000,2.5% Parametric bound,2,0.572883
pdf,0.000000,97.5% Parametric bound,3,0.000000
pdf,0.040000,97.5% Parametric bound,3,0.000000
pdf,0.080000,97.5% Parametric bound,3,0.128848
pdf,0.120000,97.5% Parametric bound,3,0.258065
pdf,0.160000,97.5% Parametric bound,3,0.360057
pdf,0.200000,97.5% Parametric bound,3,0.438781
pdf,0.240000,97.5% Parametric bound,3,0.497691
pdf,0.280000,97.5% Parametric bound,3,0.539799
pdf,0.320000,97.5% Parametric bound,3,0.567727
pdf,0.360000,97.5% Parametric bound,3,0.583756
pdf,0.400000,97.5% Parametric bound,3,0.589861
pdf,0.440000,97.5% Parametric bound,3,0.587755
pdf,0.480000,97.5% Parametric bound,3,0.578916
pdf,0.520000,97.5% Parametric bound,3,0.564618
pdf,0.560000,97.5% Parametric bound,3,0.545955
pdf,0.600000,97.5% Parametric bound,3,0.523865
pdf,0.640000,97.5% Parametric bound,3,0.499148
pdf,0.680000,97.5% Parametric bound,3,0.472486
pdf,0.720000,97.5% Parametric bound,3,0.444455
pdf,0.760000,97.5% Parametric bound,3,0.415540
pdf,0.800000,97.5% Parametric bound,3,0.386150
pdf,0.840000,97.5% Parametric bound,3,0.356621
pdf,0.880000,97.5% Parametric bound,3,0.327234
pdf,0.920000,97.5% Parametric bound,3,0.298217
pdf,0.960000,97.5% Parametric bound,3,0.269754
pdf,1.000000,97.5% Parametric bound,3,0.241992
pdf,1.040000,97.5% Parametric bound,3,0.215045
pdf,1.080000,97.5% Parametric bound,3,0.189001
pdf,1.120000,97.5% Parametric bound,3,0.163922
pdf,1.160000,97.5% Parametric bound,3,0.139851
pdf,1.200000,97.5% Parametric bound,3,0.116817
pdf,1.240000,97.5% Parametric bound,3,0.094833
pdf,1.280000,97.5% Parametric bound,3,0.073898
pdf,1.320000,97.5% Parametric bound,3,0.054007
pdf,1.360000,97.5% Parametric bound,3,0.035142
pdf,1.400000,97.5% Parametric bound,3,0.017282
pdf,1.440000,97.5% Parametric bound,3,0.000400
pdf,1.480000,97.5% Parametric bound,3,0.000000
pdf,1.520000,97.5% Parametric bound,3,0.000000
pdf,1.560000,97.5% Parametric bound,3,0.000000
pdf,1.600000,97.5% Parametric bound,3,0.000000
pdf,1.640000,97.5% Parametric bound,3,0.000000
pdf,1.680000,97.5% Parametric bound,3,0.000000
pdf,1.720000,97.5% Parametric bound,3,0.000000
pdf,1.760000,97.5% Parametric bound,3,0.000000
pdf,1.800000,97.5% Parametric bound,3,0.000000
pdf,1.840000,97.5% Parametric bound,3,0.000000
pdf,1.880000,97.5% Parametric bound,3,0.000000
pdf,1.920000,97.5% Parametric bound,3,0.000000
pdf,1.960000,97.5% Parametric bound,3,0.000000
pdf,2.000000,97.5% Parametric bound,3,0.000000
cdf,2.000000,AMC 12 100+,1,0.860000
cdf,2.100000,AMC 12 100+,1,0.874666
cdf,2.200000,AMC 12 100+,1,0.887738
cdf,2.300000,AMC 12 100+,1,0.899390
cdf,2.400000,AMC 12 100+,1,0.909777
cdf,2.500000,AMC 12 100+,1,0.919035
cdf,2.600000,AMC 12 100+,1,0.927287
cdf,2.700000,AMC 12 100+,1,0.934643
cdf,2.800000,AMC 12 100+,1,0.941200
cdf,2.900000,AMC 12 100+,1,0.947044
cdf,3.000000,AMC 12 100+,1,0.952254
cdf,3.100000,AMC 12 100+,1,0.956898
cdf,3.200000,AMC 12 100+,1,0.961037
cdf,3.300000,AMC 12 100+,1,0.964726
cdf,3.400000,AMC 12 100+,1,0.968015
cdf,3.500000,AMC 12 100+,1,0.970947
cdf,3.600000,AMC 12 100+,1,0.973560
cdf,3.700000,AMC 12 100+,1,0.975889
cdf,3.800000,AMC 12 100+,1,0.977965
cdf,3.900000,AMC 12 100+,1,0.979816
cdf,4.000000,AMC 12 100+,1,0.981465
cdf,4.100000,AMC 12 100+,1,0.982935
cdf,4.200000,AMC 12 100+,1,0.984246
cdf,4.300000,AMC 12 100+,1,0.985414
cdf,4.400000,AMC 12 100+,1,0.986456
cdf,4.500000,AMC 12 100+,1,0.987384
cdf,4.600000,AMC 12 100+,1,0.988211
cdf,4.700000,AMC 12 100+,1,0.988949
cdf,4.800000,AMC 12 100+,1,0.989606
cdf,4.900000,AMC 12 100+,1,0.990192
cdf,5.000000,AMC 12 100+,1,0.990714
cdf,5.100000,AMC 12 100+,1,0.991180
cdf,5.200000,AMC 12 100+,1,0.991595
cdf,5.300000,AMC 12 100+,1,0.991965
cdf,5.400000,AMC 12 100+,1,0.992295
cdf,5.500000,AMC 12 100+,1,0.992588
cdf,5.600000,AMC 12 100+,1,0.992850
cdf,5.700000,AMC 12 100+,1,0.993084
cdf,5.800000,AMC 12 100+,1,0.993292
cdf,5.900000,AMC 12 100+,1,0.993478
cdf,6.000000,AMC 12 100+,1,0.993643
cdf,6.100000,AMC 12 100+,1,0.993790
cdf,6.200000,AMC 12 100+,1,0.993922
cdf,6.300000,AMC 12 100+,1,0.994039
cdf,6.400000,AMC 12 100+,1,0.994143
cdf,6.500000,AMC 12 100+,1,0.994236
cdf,6.600000,AMC 12 100+,1,0.994319
cdf,6.700000,AMC 12 100+,1,0.994393
cdf,6.800000,AMC 12 100+,1,0.994459
cdf,6.900000,AMC 12 100+,1,0.994518
cdf,7.000000,AMC 12 100+,1,0.994570
cdf,7.100000,AMC 12 100+,1,0.994617
cdf,7.200000,AMC 12 100+,1,0.994659
cdf,7.300000,AMC 12 100+,1,0.994696
cdf,7.400000,AMC 12 100+,1,0.994729
cdf,7.500000,AMC 12 100+,1,0.994758
cdf,7.600000,AMC 12 100+,1,0.994784
cdf,7.700000,AMC 12 100+,1,0.994808
cdf,7.800000,AMC 12 100+,1,0.994829
cdf,7.900000,AMC 12 100+,1,0.994847
cdf,8.000000,AMC 12 100+,1,0.994864
cdf,2.000000,2.5% Parametric bound,2,0.935000
cdf,2.100000,2.5% Parametric bound,2,0.943082
cdf,2.200000,2.5% Parametric bound,2,0.950144
cdf,2.300000,2.5% Parametric bound,2,0.956313
cdf,2.400000,2.5% Parametric bound,2,0.961704
cdf,2.500000,2.5% Parametric bound,2,0.966414
cdf,2.600000,2.5% Parametric bound,2,0.970529
cdf,2.700000,2.5% Parametric bound,2,0.974125
cdf,2.800000,2.5% Parametric bound,2,0.977266
cdf,2.900000,2.5% Parametric bound,2,0.980011
cdf,3.000000,2.5% Parametric bound,2,0.982409
cdf,3.100000,2.5% Parametric bound,2,0.984504
cdf,3.200000,2.5% Parametric bound,2,0.986334
cdf,3.300000,2.5% Parametric bound,2,0.987934
cdf,3.400000,2.5% Parametric bound,2,0.989331
cdf,3.500000,2.5% Parametric bound,2,0.990552
cdf,3.600000,2.5% Parametric bound,2,0.991619
cdf,3.700000,2.5% Parametric bound,2,0.992551
cdf,3.800000,2.5% Parametric bound,2,0.993366
cdf,3.900000,2.5% Parametric bound,2,0.994077
cdf,4.000000,2.5% Parametric bound,2,0.994699
cdf,4.100000,2.5% Parametric bound,2,0.995242
cdf,4.200000,2.5% Parametric bound,2,0.995717
cdf,4.300000,2.5% Parametric bound,2,0.996131
cdf,4.400000,2.5% Parametric bound,2,0.996494
cdf,4.500000,2.5% Parametric bound,2,0.996810
cdf,4.600000,2.5% Parametric bound,2,0.997087
cdf,4.700000,2.5% Parametric bound,2,0.997328
cdf,4.800000,2.5% Parametric bound,2,0.997539
cdf,4.900000,2.5% Parametric bound,2,0.997724
cdf,5.000000,2.5% Parametric bound,2,0.997885
cdf,5.100000,2.5% Parametric bound,2,0.998026
cdf,5.200000,2.5% Parametric bound,2,0.998149
cdf,5.300000,2.5% Parametric bound,2,0.998256
cdf,5.400000,2.5% Parametric bound,2,0.998350
cdf,5.500000,2.5% Parametric bound,2,0.998432
cdf,5.600000,2.5% Parametric bound,2,0.998504
cdf,5.700000,2.5% Parametric bound,2,0.998567
cdf,5.800000,2.5% Parametric bound,2,0.998621
cdf,5.900000,2.5% Parametric bound,2,0.998669
cdf,6.000000,2.5% Parametric bound,2,0.998711
cdf,6.100000,2.5% Parametric bound,2,0.998747
cdf,6.200000,2.5% Parametric bound,2,0.998779
cdf,6.300000,2.5% Parametric bound,2,0.998807
cdf,6.400000,2.5% Parametric bound,2,0.998832
cdf,6.500000,2.5% Parametric bound,2,0.998853
cdf,6.600000,2.5% Parametric bound,2,0.998871
cdf,6.700000,2.5% Parametric bound,2,0.998888
cdf,6.800000,2.5% Parametric bound,2,0.998902
cdf,6.900000,2.5% Parametric bound,2,0.998914
cdf,7.000000,2.5% Parametric bound,2,0.998925
cdf,7.100000,2.5% Parametric bound,2,0.998935
cdf,7.200000,2.5% Parametric bound,2,0.998943
cdf,7.300000,2.5% Parametric bound,2,0.998950
cdf,7.400000,2.5% Parametric bound,2,0.998956
cdf,7.500000,2.5% Parametric bound,2,0.998962
cdf,7.600000,2.5% Parametric bound,2,0.998967
cdf,7.700000,2.5% Parametric bound,2,0.998971
cdf,7.800000,2.5% Parametric bound,2,0.998975
cdf,7.900000,2.5% Parametric bound,2,0.998978
cdf,8.000000,2.5% Parametric bound,2,0.998981
cdf,2.000000,97.5% Parametric bound,3,0.830000
cdf,2.100000,97.5% Parametric bound,3,0.838614
cdf,2.200000,97.5% Parametric bound,3,0.846792
cdf,2.300000,97.5% Parametric bound,3,0.854555
cdf,2.400000,97.5% Parametric bound,3,0.861925
cdf,2.500000,97.5% Parametric bound,3,0.868921
cdf,2.600000,97.5% Parametric bound,3,0.875563
cdf,2.700000,97.5% Parametric bound,3,0.881868
cdf,2.800000,97.5% Parametric bound,3,0.887854
cdf,2.900000,97.5% Parametric bound,3,0.893537
cdf,3.000000,97.5% Parametric bound,3,0.898932
cdf,3.100000,97.5% Parametric bound,3,0.904053
cdf,3.200000,97.5% Parametric bound,3,0.908915
cdf,3.300000,97.5% Parametric bound,3,0.913530
cdf,3.400000,97.5% Parametric bound,3,0.917911
cdf,3.500000,97.5% Parametric bound,3,0.922071
cdf,3.600000,97.5% Parametric bound,3,0.926020
cdf,3.700000,97.5% Parametric bound,3,0.929768
cdf,3.800000,97.5% Parametric bound,3,0.933327
cdf,3.900000,97.5% Parametric bound,3,0.936706
cdf,4.000000,97.5% Parametric bound,3,0.939913
cdf,4.100000,97.5% Parametric bound,3,0.942957
cdf,4.200000,97.5% Parametric bound,3,0.945848
cdf,4.300000,97.5% Parametric bound,3,0.948592
cdf,4.400000,97.5% Parametric bound,3,0.951197
cdf,4.500000,97.5% Parametric bound,3,0.953670
cdf,4.600000,97.5% Parametric bound,3,0.956017
cdf,4.700000,97.5% Parametric bound,3,0.958246
cdf,4.800000,97.5% Parametric bound,3,0.960362
cdf,4.900000,97.5% Parametric bound,3,0.962370
cdf,5.000000,97.5% Parametric bound,3,0.964277
cdf,5.100000,97.5% Parametric bound,3,0.966087
cdf,5.200000,97.5% Parametric bound,3,0.967805
cdf,5.300000,97.5% Parametric bound,3,0.969437
cdf,5.400000,97.5% Parametric bound,3,0.970985
cdf,5.500000,97.5% Parametric bound,3,0.972456
cdf,5.600000,97.5% Parametric bound,3,0.973851
cdf,5.700000,97.5% Parametric bound,3,0.975176
cdf,5.800000,97.5% Parametric bound,3,0.976434
cdf,5.900000,97.5% Parametric bound,3,0.977628
cdf,6.000000,97.5% Parametric bound,3,0.978762
cdf,6.100000,97.5% Parametric bound,3,0.979838
cdf,6.200000,97.5% Parametric bound,3,0.980860
cdf,6.300000,97.5% Parametric bound,3,0.981830
cdf,6.400000,97.5% Parametric bound,3,0.982750
cdf,6.500000,97.5% Parametric bound,3,0.983624
cdf,6.600000,97.5% Parametric bound,3,0.984454
cdf,6.700000,97.5% Parametric bound,3,0.985242
cdf,6.800000,97.5% Parametric bound,3,0.985990
cdf,6.900000,97.5% Parametric bound,3,0.986700
cdf,7.000000,97.5% Parametric bound,3,0.987373
cdf,7.100000,97.5% Parametric bound,3,0.988013
cdf,7.200000,97.5% Parametric bound,3,0.988621
cdf,7.300000,97.5% Parametric bound,3,0.989197
cdf,7.400000,97.5% Parametric bound,3,0.989745
cdf,7.500000,97.5% Parametric bound,3,0.990264
cdf,7.600000,97.5% Parametric bound,3,0.990758
cdf,7.700000,97.5% Parametric bound,3,0.991226
cdf,7.800000,97.5% Parametric bound,3,0.991671
cdf,7.900000,97.5% Parametric bound,3,0.992093
cdf,8.000000,97.5% Parametric bound,3,0.992493
