row,column,date,red,green,blue
5,25,2009-10-01,249,181,170
5,26,2009-11-01,246,101,95
5,27,2009-12-01,246,120,113
5,28,2010-01-01,248,193,182
5,29,2010-02-01,229,240,242
5,30,2010-03-01,226,239,242
5,31,2010-04-01,248,208,201
5,32,2010-05-01,246,227,222
5,33,2010-06-01,235,242,243
5,34,2010-07-01,157,207,220
5,35,2010-08-01,119,183,204
5,36,2010-09-01,163,209,223
5,37,2010-10-01,170,215,227
5,38,2010-11-01,207,231,237
5,39,2010-12-01,248,192,181
5,40,2011-01-01,246,230,226
5,41,2011-02-01,242,245,245
5,42,2011-03-01,183,221,233
5,43,2011-04-01,228,239,241
5,44,2011-05-01,175,217,229
5,45,2011-06-01,183,221,232
5,46,2011-07-01,180,220,231
5,47,2011-08-01,191,225,234
5,48,2011-09-01,229,240,242
5,49,2011-10-01,214,234,239
6,0,2007-09-01,226,239,242
6,1,2007-10-01,247,217,211
6,2,2007-11-01,247,214,207
6,3,2007-12-01,244,240,240
6,4,2008-01-01,248,200,192
6,5,2008-02-01,248,198,188
6,6,2008-03-01,178,219,230
6,7,2008-04-01,233,241,242
6,8,2008-05-01,179,219,230
6,9,2008-06-01,147,201,216
6,10,2008-07-01,195,227,235
6,11,2008-08-01,152,204,218
6,12,2008-09-01,203,230,237
6,13,2008-10-01,196,228,235
6,14,2008-11-01,194,227,235
6,15,2008-12-01,192,226,234
6,16,2009-01-01,179,219,230
6,17,2009-02-01,224,238,241
6,18,2009-03-01,160,208,222
6,19,2009-04-01,164,210,223
6,20,2009-05-01,136,194,212
6,21,2009-06-01,179,219,230
6,22,2009-07-01,245,232,228
6,23,2009-08-01,174,216,228
6,24,2009-09-01,245,239,238
6,25,2009-10-01,250,164,153
6,26,2009-11-01,247,124,117
6,27,2009-12-01,248,193,182
6,28,2010-01-01,215,234,239
6,29,2010-02-01,242,245,245
6,30,2010-03-01,244,240,240
6,31,2010-04-01,250,172,162
6,32,2010-05-01,250,152,142
6,33,2010-06-01,247,216,210
6,34,2010-07-01,186,223,234
6,35,2010-08-01,132,192,210
6,36,2010-09-01,171,215,227
6,37,2010-10-01,186,223,233
6,38,2010-11-01,222,238,241
6,39,2010-12-01,217,235,240
6,40,2011-01-01,244,243,243
6,41,2011-02-01,236,243,243
6,42,2011-03-01,214,233,239
6,43,2011-04-01,229,239,242
6,44,2011-05-01,167,213,225
6,45,2011-06-01,164,211,224
6,46,2011-07-01,169,214,226
6,47,2011-08-01,169,214,226
6,48,2011-09-01,217,235,240
6,49,2011-10-01,183,221,232
7,0,2007-09-01,244,243,242
7,1,2007-10-01,248,209,202
7,2,2007-11-01,245,237,234
7,3,2007-12-01,237,243,244
7,4,2008-01-01,245,239,237
7,5,2008-02-01,248,191,180
7,6,2008-03-01,203,230,236
7,7,2008-04-01,205,230,237
7,8,2008-05-01,164,211,224
7,9,2008-06-01,157,207,220
7,10,2008-07-01,221,237,241
7,11,2008-08-01,143,198,215
7,12,2008-09-01,200,229,236
7,13,2008-10-01,205,231,237
7,14,2008-11-01,174,217,228
7,15,2008-12-01,184,222,233
7,16,2009-01-01,167,212,225
7,17,2009-02-01,210,233,238
7,18,2009-03-01,153,205,219
7,19,2009-04-01,169,214,226
7,20,2009-05-01,137,195,213
7,21,2009-06-01,144,199,214
7,22,2009-07-01,221,237,241
7,23,2009-08-01,178,219,230
7,24,2009-09-01,247,218,212
7,25,2009-10-01,249,150,141
7,26,2009-11-01,248,133,127
7,27,2009-12-01,245,102,96
7,28,2010-01-01,247,218,212
7,29,2010-02-01,244,243,242
7,30,2010-03-01,246,227,222
7,31,2010-04-01,250,173,163
7,32,2010-05-01,243,245,246
7,33,2010-06-01,245,234,231
7,34,2010-07-01,163,209,223
7,35,2010-08-01,116,182,203
7,36,2010-09-01,165,210,224
7,37,2010-10-01,148,202,216
7,38,2010-11-01,209,232,238
7,39,2010-12-01,244,245,245
7,40,2011-01-01,226,239,242
7,41,2011-02-01,233,241,243
7,42,2011-03-01,185,222,233
7,43,2011-04-01,187,223,234
7,44,2011-05-01,152,204,218
7,45,2011-06-01,164,210,223
7,46,2011-07-01,155,206,220
7,47,2011-08-01,159,208,221
7,48,2011-09-01,213,234,239
7,49,2011-10-01,170,214,226
8,0,2007-09-01,232,240,242
8,1,2007-10-01,248,196,187
8,2,2007-11-01,246,224,218
8,3,2007-12-01,240,244,244
8,4,2008-01-01,247,220,216
8,5,2008-02-01,248,195,184
8,6,2008-03-01,176,218,229
8,7,2008-04-01,179,219,230
8,8,2008-05-01,183,221,232
8,9,2008-06-01,140,196,214
8,10,2008-07-01,174,217,228
8,11,2008-08-01,150,203,218
8,12,2008-09-01,194,227,234
8,13,2008-10-01,192,226,234
8,14,2008-11-01,170,214,226
8,15,2008-12-01,187,224,234
8,16,2009-01-01,172,216,227
8,17,2009-02-01,183,221,232
8,18,2009-03-01,153,205,219
8,19,2009-04-01,163,209,223
8,20,2009-05-01,144,199,214
8,21,2009-06-01,159,208,221
8,22,2009-07-01,187,223,234
8,23,2009-08-01,181,221,232
8,24,2009-09-01,248,182,171
8,25,2009-10-01,250,139,130
8,26,2009-11-01,244,74,59
8,27,2009-12-01,245,98,91
8,28,2010-01-01,249,183,172
8,29,2010-02-01,250,153,144
8,30,2010-03-01,248,190,179
8,31,2010-04-01,250,172,161
8,32,2010-05-01,249,178,168
8,33,2010-06-01,246,221,216
8,34,2010-07-01,171,215,227
8,35,2010-08-01,154,205,219
8,36,2010-09-01,179,219,230
8,37,2010-10-01,220,236,240
8,38,2010-11-01,246,221,216
8,39,2010-12-01,247,212,206
8,40,2011-01-01,249,179,168
8,41,2011-02-01,248,208,201
8,42,2011-03-01,244,245,244
8,43,2011-04-01,238,244,244
8,44,2011-05-01,205,230,237
8,45,2011-06-01,200,229,236
8,46,2011-07-01,173,216,228
8,47,2011-08-01,213,234,239
8,48,2011-09-01,249,177,166
8,49,2011-10-01,237,243,244
9,0,2007-09-01,241,244,245
9,1,2007-10-01,245,238,236
9,2,2007-11-01,247,215,209
9,3,2007-12-01,225,239,242
9,4,2008-01-01,242,245,245
9,5,2008-02-01,246,221,216
9,6,2008-03-01,167,213,225
9,7,2008-04-01,196,228,235
9,8,2008-05-01,196,228,235
9,9,2008-06-01,145,200,215
9,10,2008-07-01,228,239,241
9,11,2008-08-01,153,204,218
9,12,2008-09-01,223,237,241
9,13,2008-10-01,193,226,234
9,14,2008-11-01,163,210,223
9,15,2008-12-01,156,206,220
9,16,2009-01-01,176,218,229
9,17,2009-02-01,194,227,234
9,18,2009-03-01,128,190,209
9,19,2009-04-01,156,207,220
9,20,2009-05-01,146,201,216
9,21,2009-06-01,145,200,215
9,22,2009-07-01,215,234,239
9,23,2009-08-01,181,220,232
9,24,2009-09-01,245,233,229
9,25,2009-10-01,250,161,150
9,26,2009-11-01,246,95,86
9,27,2009-12-01,245,96,88
9,28,2010-01-01,237,243,243
9,29,2010-02-01,250,160,149
9,30,2010-03-01,246,228,224
9,31,2010-04-01,249,167,156
9,32,2010-05-01,247,214,207
9,33,2010-06-01,249,176,165
9,34,2010-07-01,169,214,226
9,35,2010-08-01,137,195,211
9,36,2010-09-01,176,218,229
9,37,2010-10-01,201,228,236
9,38,2010-11-01,222,238,241
9,39,2010-12-01,199,229,236
9,40,2011-01-01,203,229,236
9,41,2011-02-01,216,235,240
9,42,2011-03-01,227,239,241
9,43,2011-04-01,185,222,233
9,44,2011-05-01,179,219,230
9,45,2011-06-01,175,217,228
9,46,2011-07-01,179,219,230
9,47,2011-08-01,241,245,245
9,48,2011-09-01,214,233,239
9,49,2011-10-01,222,238,241
10,0,2007-09-01,235,242,243
10,1,2007-10-01,229,240,242
10,2,2007-11-01,248,208,201
10,3,2007-12-01,242,245,245
10,4,2008-01-01,248,206,199
10,5,2008-02-01,244,244,243
10,6,2008-03-01,163,209,223
10,7,2008-04-01,189,225,233
10,8,2008-05-01,160,208,222
10,9,2008-06-01,158,208,221
10,10,2008-07-01,180,220,231
10,11,2008-08-01,160,208,222
10,12,2008-09-01,194,227,235
10,13,2008-10-01,172,216,227
10,14,2008-11-01,184,222,233
10,15,2008-12-01,201,228,236
10,16,2009-01-01,179,219,230
10,17,2009-02-01,217,235,240
10,18,2009-03-01,171,215,227
10,19,2009-04-01,143,198,215
10,20,2009-05-01,136,195,211
10,21,2009-06-01,163,209,223
10,22,2009-07-01,221,237,241
10,23,2009-08-01,211,233,238
10,24,2009-09-01,241,245,245
10,25,2009-10-01,250,141,132
10,26,2009-11-01,246,100,93
10,27,2009-12-01,250,141,132
10,28,2010-01-01,248,137,128
10,29,2010-02-01,249,185,174
10,30,2010-03-01,244,244,243
10,31,2010-04-01,249,181,170
10,32,2010-05-01,245,236,234
10,33,2010-06-01,249,160,149
10,34,2010-07-01,194,227,235
10,35,2010-08-01,141,197,213
10,36,2010-09-01,215,234,239
10,37,2010-10-01,174,217,228
10,38,2010-11-01,246,225,219
10,39,2010-12-01,244,245,245
10,40,2011-01-01,249,202,193
10,41,2011-02-01,248,189,178
10,42,2011-03-01,226,239,242
10,43,2011-04-01,202,229,236
10,44,2011-05-01,173,216,228
10,45,2011-06-01,195,227,235
10,46,2011-07-01,164,211,224
10,47,2011-08-01,211,233,238
10,48,2011-09-01,225,239,242
10,49,2011-10-01,238,244,244
11,0,2007-09-01,228,239,241
11,1,2007-10-01,244,245,245
11,2,2007-11-01,248,196,186
11,3,2007-12-01,219,236,240
11,4,2008-01-01,248,186,175
11,5,2008-02-01,248,209,202
11,6,2008-03-01,180,220,231
11,7,2008-04-01,220,237,241
11,8,2008-05-01,172,216,227
11,9,2008-06-01,153,204,218
11,10,2008-07-01,196,228,235
11,11,2008-08-01,157,207,220
11,12,2008-09-01,201,228,236
11,13,2008-10-01,195,227,235
11,14,2008-11-01,165,210,224
11,15,2008-12-01,187,224,234
11,16,2009-01-01,154,205,219
11,17,2009-02-01,234,242,243
11,18,2009-03-01,161,208,222
11,19,2009-04-01,145,199,215
11,20,2009-05-01,152,204,218
11,21,2009-06-01,160,208,222
11,22,2009-07-01,183,222,233
11,23,2009-08-01,168,212,225
11,24,2009-09-01,247,215,209
11,25,2009-10-01,249,167,156
11,26,2009-11-01,250,139,130
11,27,2009-12-01,247,130,124
11,28,2010-01-01,221,237,241
11,29,2010-02-01,246,227,222
11,30,2010-03-01,245,235,233
11,31,2010-04-01,248,203,195
11,32,2010-05-01,217,235,240
11,33,2010-06-01,226,239,242
11,34,2010-07-01,179,220,231
11,35,2010-08-01,146,201,216
11,36,2010-09-01,171,215,227
11,37,2010-10-01,147,201,216
11,38,2010-11-01,207,231,237
11,39,2010-12-01,217,235,240
11,40,2011-01-01,240,244,244
11,41,2011-02-01,244,240,240
11,42,2011-03-01,221,236,241
11,43,2011-04-01,195,227,235
11,44,2011-05-01,160,208,222
11,45,2011-06-01,167,212,225
11,46,2011-07-01,152,204,218
11,47,2011-08-01,188,224,234
11,48,2011-09-01,180,220,232
11,49,2011-10-01,170,215,227
12,0,2007-09-01,247,215,209
12,1,2007-10-01,244,242,241
12,2,2007-11-01,248,209,202
12,3,2007-12-01,233,241,242
12,4,2008-01-01,246,226,221
12,5,2008-02-01,249,179,169
12,6,2008-03-01,181,221,232
12,7,2008-04-01,198,228,235
12,8,2008-05-01,165,210,224
12,9,2008-06-01,167,212,225
12,10,2008-07-01,205,231,237
12,11,2008-08-01,147,201,216
12,12,2008-09-01,215,234,239
12,13,2008-10-01,218,235,240
12,14,2008-11-01,199,229,236
12,15,2008-12-01,192,226,234
12,16,2009-01-01,205,231,237
12,17,2009-02-01,211,233,238
12,18,2009-03-01,158,207,221
12,19,2009-04-01,159,208,221
12,20,2009-05-01,126,189,208
12,21,2009-06-01,188,224,234
12,22,2009-07-01,205,231,237
12,23,2009-08-01,183,222,233
12,24,2009-09-01,247,210,204
12,25,2009-10-01,246,100,94
12,26,2009-11-01,246,93,83
12,27,2009-12-01,248,131,124
12,28,2010-01-01,248,200,190
12,29,2010-02-01,248,192,180
12,30,2010-03-01,248,187,176
12,31,2010-04-01,247,117,110
12,32,2010-05-01,248,189,178
12,33,2010-06-01,249,167,156
12,34,2010-07-01,156,206,220
12,35,2010-08-01,127,189,208
12,36,2010-09-01,190,225,233
12,37,2010-10-01,169,213,226
12,38,2010-11-01,246,228,224
12,39,2010-12-01,247,212,206
12,40,2011-01-01,247,218,212
12,41,2011-02-01,248,194,183
12,42,2011-03-01,211,233,238
12,43,2011-04-01,186,223,234
12,44,2011-05-01,176,218,229
12,45,2011-06-01,175,217,229
12,46,2011-07-01,159,208,221
12,47,2011-08-01,244,246,246
12,48,2011-09-01,223,237,241
12,49,2011-10-01,203,229,236
13,0,2007-09-01,230,240,242
13,1,2007-10-01,244,242,241
13,2,2007-11-01,248,196,187
13,3,2007-12-01,226,239,242
13,4,2008-01-01,247,210,204
13,5,2008-02-01,250,161,150
13,6,2008-03-01,193,226,234
13,7,2008-04-01,200,229,236
13,8,2008-05-01,167,212,225
13,9,2008-06-01,153,204,218
13,10,2008-07-01,213,234,239
13,11,2008-08-01,147,201,216
13,12,2008-09-01,205,231,237
13,13,2008-10-01,190,225,233
13,14,2008-11-01,190,225,235
13,15,2008-12-01,199,229,236
13,16,2009-01-01,193,227,234
13,17,2009-02-01,228,239,241
13,18,2009-03-01,154,205,219
13,19,2009-04-01,158,208,221
13,20,2009-05-01,141,197,213
13,21,2009-06-01,156,207,220
13,22,2009-07-01,245,238,236
13,23,2009-08-01,219,236,240
13,24,2009-09-01,248,182,170
13,25,2009-10-01,249,168,157
13,26,2009-11-01,245,82,69
13,27,2009-12-01,246,101,95
13,28,2010-01-01,247,216,210
13,29,2010-02-01,248,196,187
13,30,2010-03-01,246,223,217
13,31,2010-04-01,249,201,193
13,32,2010-05-01,248,196,187
13,33,2010-06-01,249,159,148
13,34,2010-07-01,212,234,239
13,35,2010-08-01,142,198,214
13,36,2010-09-01,184,222,233
13,37,2010-10-01,181,220,232
13,38,2010-11-01,248,200,190
13,39,2010-12-01,215,234,239
13,40,2011-01-01,249,181,170
13,41,2011-02-01,247,219,215
13,42,2011-03-01,246,230,226
13,43,2011-04-01,214,234,239
13,44,2011-05-01,186,223,234
13,45,2011-06-01,183,221,233
13,46,2011-07-01,165,211,224
13,47,2011-08-01,241,244,245
13,48,2011-09-01,218,236,240
13,49,2011-10-01,193,226,234
14,0,2007-09-01,245,234,232
14,1,2007-10-01,246,229,224
14,2,2007-11-01,249,183,171
14,3,2007-12-01,240,244,244
14,4,2008-01-01,248,187,176
14,5,2008-02-01,250,166,155
14,6,2008-03-01,156,206,220
14,7,2008-04-01,208,232,238
14,8,2008-05-01,167,212,225
14,9,2008-06-01,185,222,233
14,10,2008-07-01,190,225,233
14,11,2008-08-01,145,200,215
14,12,2008-09-01,236,243,243
14,13,2008-10-01,207,231,237
14,14,2008-11-01,198,228,235
14,15,2008-12-01,200,229,236
14,16,2009-01-01,244,240,239
14,17,2009-02-01,248,204,196
14,18,2009-03-01,169,214,226
14,19,2009-04-01,199,229,235
14,20,2009-05-01,140,196,214
14,21,2009-06-01,176,218,229
14,22,2009-07-01,248,211,204
14,23,2009-08-01,183,221,233
14,24,2009-09-01,247,124,117
14,25,2009-10-01,247,111,105
14,26,2009-11-01,244,74,59
14,27,2009-12-01,246,101,95
14,28,2010-01-01,247,123,117
14,29,2010-02-01,249,149,139
14,30,2010-03-01,249,156,147
14,31,2010-04-01,246,95,87
14,32,2010-05-01,248,200,190
14,33,2010-06-01,250,171,160
14,34,2010-07-01,184,222,233
14,35,2010-08-01,181,220,232
14,36,2010-09-01,245,235,233
14,37,2010-10-01,224,238,241
14,38,2010-11-01,248,193,182
14,39,2010-12-01,250,163,152
14,40,2011-01-01,249,151,141
14,41,2011-02-01,250,171,161
14,42,2011-03-01,248,210,203
14,43,2011-04-01,199,229,236
14,44,2011-05-01,221,237,241
14,45,2011-06-01,242,245,245
14,46,2011-07-01,191,225,234
14,47,2011-08-01,247,216,210
14,48,2011-09-01,249,168,157
14,49,2011-10-01,245,234,231
15,0,2007-09-01,231,241,242
15,1,2007-10-01,246,221,216
15,2,2007-11-01,246,223,217
15,3,2007-12-01,189,224,234
15,4,2008-01-01,247,218,214
15,5,2008-02-01,247,214,207
15,6,2008-03-01,171,216,227
15,7,2008-04-01,220,237,241
15,8,2008-05-01,195,227,235
15,9,2008-06-01,158,208,221
15,10,2008-07-01,207,231,237
15,11,2008-08-01,149,202,217
15,12,2008-09-01,209,232,238
15,13,2008-10-01,188,224,234
15,14,2008-11-01,154,205,219
15,15,2008-12-01,144,199,216
15,16,2009-01-01,157,207,220
15,17,2009-02-01,180,220,231
15,18,2009-03-01,145,200,215
15,19,2009-04-01,125,188,208
15,20,2009-05-01,122,186,206
15,21,2009-06-01,134,193,211
15,22,2009-07-01,191,225,234
15,23,2009-08-01,162,209,222
15,24,2009-09-01,246,224,218
15,25,2009-10-01,247,217,210
15,26,2009-11-01,245,103,97
15,27,2009-12-01,247,219,214
15,28,2010-01-01,242,245,245
15,29,2010-02-01,245,240,239
15,30,2010-03-01,242,245,245
15,31,2010-04-01,245,235,232
15,32,2010-05-01,236,242,243
15,33,2010-06-01,235,242,243
15,34,2010-07-01,157,207,220
15,35,2010-08-01,105,175,197
15,36,2010-09-01,161,208,222
15,37,2010-10-01,166,212,224
15,38,2010-11-01,191,225,234
15,39,2010-12-01,206,230,237
15,40,2011-01-01,199,229,236
15,41,2011-02-01,223,237,241
15,42,2011-03-01,170,215,227
15,43,2011-04-01,189,224,234
15,44,2011-05-01,160,208,222
15,45,2011-06-01,179,219,230
15,46,2011-07-01,148,202,216
15,47,2011-08-01,176,218,229
15,48,2011-09-01,179,219,230
15,49,2011-10-01,158,208,221
16,0,2007-09-01,244,246,246
16,1,2007-10-01,245,238,236
16,2,2007-11-01,246,230,226
16,3,2007-12-01,221,237,241
16,4,2008-01-01,249,174,164
16,5,2008-02-01,250,152,142
16,6,2008-03-01,175,218,229
16,7,2008-04-01,194,227,235
16,8,2008-05-01,161,208,222
16,9,2008-06-01,156,206,220
16,10,2008-07-01,221,237,241
16,11,2008-08-01,150,203,218
16,12,2008-09-01,213,234,239
16,13,2008-10-01,229,240,242
16,14,2008-11-01,202,229,236
16,15,2008-12-01,192,226,234
16,16,2009-01-01,242,245,245
16,17,2009-02-01,225,239,242
16,18,2009-03-01,169,214,226
16,19,2009-04-01,164,211,224
16,20,2009-05-01,147,201,216
16,21,2009-06-01,167,212,225
