panel_order,row_group,gamma,position,component,component_order,share
5,with risk-free rate,2,0.286,Allocation 2,2,0.0
5,with risk-free rate,2,0.286,Allocation 3,3,1.0
5,with risk-free rate,2,0.571,Allocation 1,1,0.0
5,with risk-free rate,2,0.571,Allocation 2,2,0.0
5,with risk-free rate,2,0.571,Allocation 3,3,1.0
5,with risk-free rate,2,0.857,Allocation 1,1,0.0
5,with risk-free rate,2,0.857,Allocation 2,2,0.0
5,with risk-free rate,2,0.857,Allocation 3,3,1.0
5,with risk-free rate,2,1.143,Allocation 1,1,0.0
5,with risk-free rate,2,1.143,Allocation 2,2,0.0
5,with risk-free rate,2,1.143,Allocation 3,3,1.0
5,with risk-free rate,2,1.429,Allocation 1,1,0.0
5,with risk-free rate,2,1.429,Allocation 2,2,0.0
5,with risk-free rate,2,1.429,Allocation 3,3,1.0
5,with risk-free rate,2,1.714,Allocation 1,1,0.0
5,with risk-free rate,2,1.714,Allocation 2,2,0.0
5,with risk-free rate,2,1.714,Allocation 3,3,1.0
5,with risk-free rate,2,2.0,Allocation 1,1,0.0
5,with risk-free rate,2,2.0,Allocation 2,2,0.0
5,with risk-free rate,2,2.0,Allocation 3,3,1.0
6,with risk-free rate,5,-2.0,Allocation 1,1,1.0
6,with risk-free rate,5,-2.0,Allocation 2,2,0.0
6,with risk-free rate,5,-2.0,Allocation 3,3,0.0
6,with risk-free rate,5,-1.714,Allocation 1,1,1.0
6,with risk-free rate,5,-1.714,Allocation 2,2,0.0
6,with risk-free rate,5,-1.714,Allocation 3,3,0.0
6,with risk-free rate,5,-1.429,Allocation 1,1,0.92
6,with risk-free rate,5,-1.429,Allocation 2,2,0.0
6,with risk-free rate,5,-1.429,Allocation 3,3,0.08
6,with risk-free rate,5,-1.143,Allocation 1,1,0.74
6,with risk-free rate,5,-1.143,Allocation 2,2,0.0
6,with risk-free rate,5,-1.143,Allocation 3,3,0.26
6,with risk-free rate,5,-0.857,Allocation 1,1,0.55
6,with risk-free rate,5,-0.857,Allocation 2,2,0.0
6,with risk-free rate,5,-0.857,Allocation 3,3,0.45
6,with risk-free rate,5,-0.571,Allocation 1,1,0.35
6,with risk-free rate,5,-0.571,Allocation 2,2,0.0
6,with risk-free rate,5,-0.571,Allocation 3,3,0.65
6,with risk-free rate,5,-0.286,Allocation 1,1,0.18
6,with risk-free rate,5,-0.286,Allocation 2,2,0.0
6,with risk-free rate,5,-0.286,Allocation 3,3,0.82
6,with risk-free rate,5,0.0,Allocation 1,1,0.04
6,with risk-free rate,5,0.0,Allocation 2,2,0.0
6,with risk-free rate,5,0.0,Allocation 3,3,0.96
6,with risk-free rate,5,0.286,Allocation 1,1,0.0
6,with risk-free rate,5,0.286,Allocation 2,2,0.0
6,with risk-free rate,5,0.286,Allocation 3,3,1.0
6,with risk-free rate,5,0.571,Allocation 1,1,0.0
6,with risk-free rate,5,0.571,Allocation 2,2,0.0
6,with risk-free rate,5,0.571,Allocation 3,3,1.0
6,with risk-free rate,5,0.857,Allocation 1,1,0.0
6,with risk-free rate,5,0.857,Allocation 2,2,0.0
6,with risk-free rate,5,0.857,Allocation 3,3,1.0
6,with risk-free rate,5,1.143,Allocation 1,1,0.0
6,with risk-free rate,5,1.143,Allocation 2,2,0.0
6,with risk-free rate,5,1.143,Allocation 3,3,1.0
6,with risk-free rate,5,1.429,Allocation 1,1,0.0
6,with risk-free rate,5,1.429,Allocation 2,2,0.0
6,with risk-free rate,5,1.429,Allocation 3,3,1.0
6,with risk-free rate,5,1.714,Allocation 1,1,0.0
6,with risk-free rate,5,1.714,Allocation 2,2,0.0
6,with risk-free rate,5,1.714,Allocation 3,3,1.0
6,with risk-free rate,5,2.0,Allocation 1,1,0.0
6,with risk-free rate,5,2.0,Allocation 2,2,0.0
6,with risk-free rate,5,2.0,Allocation 3,3,1.0
7,with risk-free rate,10,-2.0,Allocation 1,1,1.0
7,with risk-free rate,10,-2.0,Allocation 2,2,0.0
7,with risk-free rate,10,-2.0,Allocation 3,3,0.0
7,with risk-free rate,10,-1.714,Allocation 1,1,1.0
7,with risk-free rate,10,-1.714,Allocation 2,2,0.0
7,with risk-free rate,10,-1.714,Allocation 3,3,0.0
7,with risk-free rate,10,-1.429,Allocation 1,1,0.96
7,with risk-free rate,10,-1.429,Allocation 2,2,0.0
7,with risk-free rate,10,-1.429,Allocation 3,3,0.04
7,with risk-free rate,10,-1.143,Allocation 1,1,0.88
7,with risk-free rate,10,-1.143,Allocation 2,2,0.0
7,with risk-free rate,10,-1.143,Allocation 3,3,0.12
7,with risk-free rate,10,-0.857,Allocation 1,1,0.78
7,with risk-free rate,10,-0.857,Allocation 2,2,0.0
7,with risk-free rate,10,-0.857,Allocation 3,3,0.22
7,with risk-free rate,10,-0.571,Allocation 1,1,0.68
7,with risk-free rate,10,-0.571,Allocation 2,2,0.0
7,with risk-free rate,10,-0.571,Allocation 3,3,0.32
7,with risk-free rate,10,-0.286,Allocation 1,1,0.6
7,with risk-free rate,10,-0.286,Allocation 2,2,0.0
7,with risk-free rate,10,-0.286,Allocation 3,3,0.4
7,with risk-free rate,10,0.0,Allocation 1,1,0.52
7,with risk-free rate,10,0.0,Allocation 2,2,0.0
7,with risk-free rate,10,0.0,Allocation 3,3,0.48
7,with risk-free rate,10,0.286,Allocation 1,1,0.47
7,with risk-free rate,10,0.286,Allocation 2,2,0.0
7,with risk-free rate,10,0.286,Allocation 3,3,0.53
7,with risk-free rate,10,0.571,Allocation 1,1,0.42
7,with risk-free rate,10,0.571,Allocation 2,2,0.0
7,with risk-free rate,10,0.571,Allocation 3,3,0.58
7,with risk-free rate,10,0.857,Allocation 1,1,0.38
7,with risk-free rate,10,0.857,Allocation 2,2,0.01
7,with risk-free rate,10,0.857,Allocation 3,3,0.61
7,with risk-free rate,10,1.143,Allocation 1,1,0.34
7,with risk-free rate,10,1.143,Allocation 2,2,0.03
7,with risk-free rate,10,1.143,Allocation 3,3,0.63
7,with risk-free rate,10,1.429,Allocation 1,1,0.29
7,with risk-free rate,10,1.429,Allocation 2,2,0.05
7,with risk-free rate,10,1.429,Allocation 3,3,0.66
7,with risk-free rate,10,1.714,Allocation 1,1,0.24
7,with risk-free rate,10,1.714,Allocation 2,2,0.11
7,with risk-free rate,10,1.714,Allocation 3,3,0.65
7,with risk-free rate,10,2.0,Allocation 1,1,0.18
7,with risk-free rate,10,2.0,Allocation 2,2,0.15
7,with risk-free rate,10,2.0,Allocation 3,3,0.67
8,with risk-free rate,20,-2.0,Allocation 1,1,1.0
8,with risk-free rate,20,-2.0,Allocation 2,2,0.0
8,with risk-free rate,20,-2.0,Allocation 3,3,0.0
8,with risk-free rate,20,-1.714,Allocation 1,1,1.0
8,with risk-free rate,20,-1.714,Allocation 2,2,0.0
8,with risk-free rate,20,-1.714,Allocation 3,3,0.0
8,with risk-free rate,20,-1.429,Allocation 1,1,0.99
8,with risk-free rate,20,-1.429,Allocation 2,2,0.0
8,with risk-free rate,20,-1.429,Allocation 3,3,0.01
8,with risk-free rate,20,-1.143,Allocation 1,1,0.95
8,with risk-free rate,20,-1.143,Allocation 2,2,0.0
8,with risk-free rate,20,-1.143,Allocation 3,3,0.05
8,with risk-free rate,20,-0.857,Allocation 1,1,0.9
8,with risk-free rate,20,-0.857,Allocation 2,2,0.0
8,with risk-free rate,20,-0.857,Allocation 3,3,0.1
8,with risk-free rate,20,-0.571,Allocation 1,1,0.85
8,with risk-free rate,20,-0.571,Allocation 2,2,0.0
8,with risk-free rate,20,-0.571,Allocation 3,3,0.15
8,with risk-free rate,20,-0.286,Allocation 1,1,0.8
8,with risk-free rate,20,-0.286,Allocation 2,2,0.0
8,with risk-free rate,20,-0.286,Allocation 3,3,0.2
8,with risk-free rate,20,0.0,Allocation 1,1,0.77
8,with risk-free rate,20,0.0,Allocation 2,2,0.0
8,with risk-free rate,20,0.0,Allocation 3,3,0.23
8,with risk-free rate,20,0.286,Allocation 1,1,0.74
8,with risk-free rate,20,0.286,Allocation 2,2,0.0
8,with risk-free rate,20,0.286,Allocation 3,3,0.26
8,with risk-free rate,20,0.571,Allocation 1,1,0.72
8,with risk-free rate,20,0.571,Allocation 2,2,0.0
8,with risk-free rate,20,0.571,Allocation 3,3,0.28
8,with risk-free rate,20,0.857,Allocation 1,1,0.7
8,with risk-free rate,20,0.857,Allocation 2,2,0.0
8,with risk-free rate,20,0.857,Allocation 3,3,0.3
8,with risk-free rate,20,1.143,Allocation 1,1,0.68
8,with risk-free rate,20,1.143,Allocation 2,2,0.01
8,with risk-free rate,20,1.143,Allocation 3,3,0.31
8,with risk-free rate,20,1.429,Allocation 1,1,0.66
8,with risk-free rate,20,1.429,Allocation 2,2,0.02
8,with risk-free rate,20,1.429,Allocation 3,3,0.32
8,with risk-free rate,20,1.714,Allocation 1,1,0.63
8,with risk-free rate,20,1.714,Allocation 2,2,0.04
8,with risk-free rate,20,1.714,Allocation 3,3,0.33
8,with risk-free rate,20,2.0,Allocation 1,1,0.6
8,with risk-free rate,20,2.0,Allocation 2,2,0.06
8,with risk-free rate,20,2.0,Allocation 3,3,0.34
